cand,pos,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,0,1m,1f,452178,70.2133,79.2632
1,0,1m,47p,452424,70.104,79.2632
1,0,1m,100p,452701,69.9806,79.2632
1,0,1m,220p,453323,69.7001,79.2632
1,0,1m,470p,454602,69.1122,79.2632
1,0,1m,1n,457232,67.8497,79.2632
1,0,1m,2.2n,462826,64.9125,79.2632
1,0,1m,4.7n,471534,58.5855,79.2631
1,0,430,1f,452175,70.1522,79.2632
1,0,430,47p,452421,70.0429,79.2632
1,0,430,100p,452698,69.9194,79.2632
1,0,430,220p,453320,69.6389,79.2632
1,0,430,470p,454599,69.0508,79.2632
1,0,430,1n,457229,67.7879,79.2632
1,0,430,2.2n,462823,64.85,79.2632
1,0,430,4.7n,471530,58.5219,79.2631
1,6,1m,1f,452640,70.2102,79.3969
1,6,1m,47p,452694,70.1826,79.3969
1,6,1m,100p,452737,70.1519,79.3969
1,6,1m,220p,452757,70.0855,79.3969
1,6,1m,470p,452500,69.9716,79.3969
1,6,1m,1n,451278,69.863,79.3969
1,6,1m,2.2n,449109,69.9177,79.3969
1,6,1m,4.7n,447771,70.0604,79.3969
1,6,430,1f,452637,70.149,79.3969
1,6,430,47p,452692,70.1214,79.3969
1,6,430,100p,452734,70.0907,79.3969
1,6,430,220p,452754,70.0243,79.3969
1,6,430,470p,452498,69.9105,79.3969
1,6,430,1n,451275,69.802,79.3969
1,6,430,2.2n,449106,69.857,79.3969
1,6,430,4.7n,447768,69.9999,79.3969
1,12,1m,1f,452761,70.2094,79.4324
1,12,1m,47p,452775,70.2024,79.4324
1,12,1m,100p,452788,70.1946,79.4324
1,12,1m,220p,452801,70.1774,79.4324
1,12,1m,470p,452766,70.1455,79.4324
1,12,1m,1n,452502,70.1039,79.4324
1,12,1m,2.2n,451828,70.1,79.4324
1,12,1m,4.7n,451269,70.1443,79.4324
1,12,430,1f,452758,70.1482,79.4324
1,12,430,47p,452773,70.1412,79.4324
1,12,430,100p,452785,70.1334,79.4324
1,12,430,220p,452798,70.1162,79.4324
1,12,430,470p,452764,70.0843,79.4324
1,12,430,1n,452500,70.0428,79.4324
1,12,430,2.2n,451826,70.0389,79.4324
1,12,430,4.7n,451267,70.0833,79.4324
2,0,1m,1f,454149,70.2003,79.8476
2,0,1m,47p,454400,70.09,79.8476
2,0,1m,100p,454681,69.9654,79.8476
2,0,1m,220p,455314,69.6825,79.8476
2,0,1m,470p,456616,69.0892,79.8476
2,0,1m,1n,459349,67.8125,79.8476
2,0,1m,2.2n,465047,64.8461,79.8475
2,0,1m,4.7n,473992,58.4463,79.8475
2,0,430,1f,454146,70.1389,79.8476
2,0,430,47p,454397,70.0286,79.8476
2,0,430,100p,454678,69.904,79.8476
2,0,430,220p,455311,69.621,79.8476
2,0,430,470p,456613,69.0276,79.8476
2,0,430,1n,459346,67.7505,79.8476
2,0,430,2.2n,465044,64.7833,79.8475
2,0,430,4.7n,473988,58.3823,79.8475
2,6,1m,1f,454611,70.1973,79.9898
2,6,1m,47p,454662,70.1698,79.9898
2,6,1m,100p,454690,70.1395,79.9898
2,6,1m,220p,454641,70.0777,79.9898
2,6,1m,470p,454178,69.994,79.9898
2,6,1m,1n,452951,69.9732,79.9898
2,6,1m,2.2n,451730,70.0588,79.9898
2,6,1m,4.7n,451209,70.1384,79.9898
2,6,430,1f,454608,70.1359,79.9898
2,6,430,47p,454660,70.1083,79.9898
2,6,430,100p,454687,70.078,79.9898
2,6,430,220p,454638,70.0162,79.9898
2,6,430,470p,454175,69.9326,79.9898
2,6,430,1n,452948,69.912,79.9898
2,6,430,2.2n,451727,69.9978,79.9898
2,6,430,4.7n,451206,70.0774,79.9898
2,12,1m,1f,454734,70.1966,80.028
2,12,1m,47p,454748,70.1895,80.028
2,12,1m,100p,454757,70.1817,80.028
2,12,1m,220p,454756,70.1651,80.028
2,12,1m,470p,454668,70.1388,80.028
2,12,1m,1n,454343,70.1209,80.028
2,12,1m,2.2n,453892,70.1409,80.028
2,12,1m,4.7n,453660,70.17,80.028
2,12,430,1f,454731,70.1351,80.028
2,12,430,47p,454745,70.1281,80.028
2,12,430,100p,454755,70.1202,80.028
2,12,430,220p,454753,70.1037,80.028
2,12,430,470p,454666,70.0774,80.028
2,12,430,1n,454340,70.0595,80.028
2,12,430,2.2n,453890,70.0795,80.028
2,12,430,4.7n,453657,70.1086,80.028
