modo,s,nome,t,target,code,i_meas,err_db,i(vls),i(vlp),v(mir_e2_s),v(ldr_s_a),v(mir_e2_p),v(ldr_p_a)
comp,S,d0,15,0.012,3156,0.009433626893244,-2.090051009173111,0.009433626893244,1.033139874908e-08,4.904727496647,3.282920904634,4.999999895702,1.825402545166
comp,S,d0.1,15,0.0002,2595,0.0002016770510832,0.07252973615550486,0.0002016770510832,1.033139902072e-08,4.997963347772,2.808666551651,4.999999895702,1.82540254779
comp,S,d0.45,15,4.5e-06,2074,4.582099275725e-06,0.15703961201241273,4.582099275725e-06,1.033139883405e-08,4.99995372941,2.430805326413,4.999999895702,1.825402545995
comp,S,d0.75,15,1.9e-07,1640,1.949248910598e-07,0.22227398440332338,1.949248910598e-07,1.033139883405e-08,4.999998031715,2.11716750768,4.999999895702,1.825402545995
comp,S,riposo,15,1e-08,1236,1.033140012995e-08,0.2831836375677984,1.033140012995e-08,1.033140035871e-08,4.999999895702,1.825402558422,4.999999895702,1.825402560619
comp,P,riposo,15,1e-08,1236,1.033140035871e-08,0.2831838298925622,1.033140012995e-08,1.033140035871e-08,4.999999895702,1.825402558422,4.999999895702,1.825402560619
comp,P,d0.75,15,1.095445e-05,2196,1.112889787391e-05,0.13723159263047538,1.033140012995e-08,1.112889787391e-05,4.999999895702,1.825402558422,4.999887617845,2.519009146727
comp,P,d1,15,0.012,3156,0.009433626893245,-2.090051009172191,1.033140037059e-08,0.009433626893245,4.999999895702,1.825402560733,4.904727496647,3.282920904634
comp,S,cal_2mA,15,0.002,2910,0.001904787005156,-0.42367152204510017,0.001904787005156,1.033139821687e-08,4.980763766118,3.048724042606,4.999999895702,1.825402540088
comp,P,cal_2mA,15,0.002,2910,0.001904787005155,-0.4236715220496596,1.033140004576e-08,0.001904787005155,4.999999895702,1.825402557615,4.980763766118,3.048724042606
nocomp,S,d0,15,0.012,3179,0.01078288345124,-0.9289266992756372,0.01078288345124,7.506882940351e-09,4.891100538743,3.309690953496,4.999999924223,1.793678954556
nocomp,S,d0.1,15,0.0002,2598,0.0002061004676963,0.2609796329006383,0.0002061004676963,7.506882382143e-09,4.997918676978,2.810865714771,4.999999924223,1.793678947197
nocomp,S,d0.45,15,4.5e-06,2059,4.108433665361e-06,-0.7907246902790839,4.108433665361e-06,7.50688241139e-09,4.999958512597,2.419962880073,4.999999924223,1.793678947586
nocomp,S,d0.75,15,1.9e-07,1610,1.567067832789e-07,-1.673316100299337,1.567067832789e-07,7.50688241139e-09,4.999998417636,2.095490884468,4.999999924223,1.793678947586
nocomp,S,riposo,15,1e-08,1192,7.506883084127e-09,-2.490806959917242,7.506883084127e-09,7.506882572067e-09,4.999999924223,1.793678956485,4.999999924223,1.793678949688
nocomp,P,riposo,15,1e-08,1192,7.506882572067e-09,-2.4908075523997333,7.506883084127e-09,7.506882572067e-09,4.999999924223,1.793678956485,4.999999924223,1.793678949688
nocomp,P,d0.75,15,1.095445e-05,2186,1.034823563032e-05,-0.4944853668643811,7.506883084127e-09,1.034823563032e-05,4.999999924223,1.793678956485,4.999895501242,2.511777641208
nocomp,P,d1,15,0.012,3179,0.01078288345124,-0.9289266992756372,7.506882964084e-09,0.01078288345124,4.999999924223,1.793678954893,4.891100538743,3.309690953496
nocomp,S,cal_2mA,15,0.002,2925,0.002112961768686,0.4772328692345454,0.002112961768686,7.506881426051e-09,4.978661396224,3.061107652837,4.999999924223,1.793678934587
nocomp,P,cal_2mA,15,0.002,2925,0.002112961768686,0.4772328692345454,7.506883067014e-09,0.002112961768686,4.999999924223,1.79367895626,4.978661396224,3.061107652837
cal,S,d0,15,0.012,3198,0.01200874822948,0.0063298726304564425,0.01200874822948,1.033139921009e-08,4.878719703392,3.332644281749,4.999999895702,1.825402541757
cal,S,d0.1,15,0.0002,2595,0.0002016770510832,0.07252973615550486,0.0002016770510832,1.033139902072e-08,4.997963347772,2.808666551651,4.999999895702,1.82540254779
cal,S,d0.45,15,4.5e-06,2074,4.582099275725e-06,0.15703961201241273,4.582099275725e-06,1.033139883405e-08,4.99995372941,2.430805326413,4.999999895702,1.825402545995
cal,S,d0.75,15,1.9e-07,1640,1.949248910598e-07,0.22227398440332338,1.949248910598e-07,1.033139883405e-08,4.999998031715,2.11716750768,4.999999895702,1.825402545995
cal,S,riposo,15,1e-08,1236,1.033140012995e-08,0.2831836375677984,1.033140012995e-08,1.033140035871e-08,4.999999895702,1.825402558422,4.999999895702,1.825402560619
cal,P,riposo,15,1e-08,1236,1.033140035871e-08,0.2831838298925622,1.033140012995e-08,1.033140035871e-08,4.999999895702,1.825402558422,4.999999895702,1.825402560619
cal,P,d0.75,15,1.095445e-05,2196,1.112889787391e-05,0.13723159263047538,1.033140012995e-08,1.112889787391e-05,4.999999895702,1.825402558422,4.999887617845,2.519009146727
cal,P,d1,15,0.012,3198,0.01200874822948,0.0063298726304564425,1.033140037059e-08,0.01200874822948,4.999999895702,1.825402560733,4.878719703392,3.332644281749
cal,S,cal_2mA,15,0.002,2917,0.001999377916996,-0.002702092412459612,0.001999377916996,1.033139821687e-08,4.979808487166,3.05448374691,4.999999895702,1.825402540088
cal,P,cal_2mA,15,0.002,2917,0.001999377916996,-0.002702092412459612,1.033140004576e-08,0.001999377916996,4.999999895702,1.825402557615,4.979808487166,3.05448374691
comp,S,d0,25,0.012,3179,0.009507312799981,-2.0224692637043096,0.009507312799981,1.032949490411e-08,4.903983145142,3.312812190476,4.999999895722,1.806430265052
comp,S,d0.1,25,0.0002,2598,0.0002013294976949,0.05754828668942574,0.0002013294976949,1.032949490411e-08,4.997966857614,2.823585902817,4.999999895722,1.806430265052
comp,S,d0.45,25,4.5e-06,2059,4.576892207564e-06,0.14716341017520512,4.576892207564e-06,1.032949490411e-08,4.999953782064,2.432743554163,4.999999895722,1.806430265052
comp,S,d0.75,25,1.9e-07,1610,1.948231050007e-07,0.2177371939383442,1.948231050007e-07,1.032949490411e-08,4.999998032749,2.108285952978,4.999999895722,1.806430265052
comp,S,riposo,25,1e-08,1192,1.032949505242e-08,0.28158183928380787,1.032949505242e-08,1.032949490411e-08,4.999999895722,1.806430266531,4.999999895722,1.806430265052
comp,P,riposo,25,1e-08,1192,1.032949490411e-08,0.28158171457255204,1.032949505242e-08,1.032949490411e-08,4.999999895722,1.806430266531,4.999999895722,1.806430265052
comp,P,d0.75,25,1.095445e-05,2186,1.117576074172e-05,0.17373036213725207,1.032949505242e-08,1.117576074172e-05,4.999999895722,1.806430266531,4.999887144743,2.524555364041
comp,P,d1,25,0.012,3179,0.009507312799979,-2.0224692637061366,1.032949505242e-08,0.009507312799979,4.999999895722,1.806430266531,4.903983145142,3.312812190476
comp,S,cal_2mA,25,0.002,2925,0.001917821043337,-0.36443832079159194,0.001917821043337,1.032949490411e-08,4.980632116481,3.072395248198,4.999999895722,1.806430265052
comp,P,cal_2mA,25,0.002,2925,0.001917821043336,-0.3644383207961204,1.032949505242e-08,0.001917821043336,4.999999895722,1.806430266531,4.980632116481,3.072395248198
nocomp,S,d0,25,0.012,3179,0.009507312799981,-2.0224692637043096,0.009507312799981,1.032949490411e-08,4.903983145142,3.312812190476,4.999999895722,1.806430265052
nocomp,S,d0.1,25,0.0002,2598,0.0002013294976949,0.05754828668942574,0.0002013294976949,1.032949490411e-08,4.997966857614,2.823585902817,4.999999895722,1.806430265052
nocomp,S,d0.45,25,4.5e-06,2059,4.576892207564e-06,0.14716341017520512,4.576892207564e-06,1.032949490411e-08,4.999953782064,2.432743554163,4.999999895722,1.806430265052
nocomp,S,d0.75,25,1.9e-07,1610,1.948231050007e-07,0.2177371939383442,1.948231050007e-07,1.032949490411e-08,4.999998032749,2.108285952978,4.999999895722,1.806430265052
nocomp,S,riposo,25,1e-08,1192,1.032949505242e-08,0.28158183928380787,1.032949505242e-08,1.032949490411e-08,4.999999895722,1.806430266531,4.999999895722,1.806430265052
nocomp,P,riposo,25,1e-08,1192,1.032949490411e-08,0.28158171457255204,1.032949505242e-08,1.032949490411e-08,4.999999895722,1.806430266531,4.999999895722,1.806430265052
nocomp,P,d0.75,25,1.095445e-05,2186,1.117576074172e-05,0.17373036213725207,1.032949505242e-08,1.117576074172e-05,4.999999895722,1.806430266531,4.999887144743,2.524555364041
nocomp,P,d1,25,0.012,3179,0.009507312799979,-2.0224692637061366,1.032949505242e-08,0.009507312799979,4.999999895722,1.806430266531,4.903983145142,3.312812190476
nocomp,S,cal_2mA,25,0.002,2925,0.001917821043337,-0.36443832079159194,0.001917821043337,1.032949490411e-08,4.980632116481,3.072395248198,4.999999895722,1.806430265052
nocomp,P,cal_2mA,25,0.002,2925,0.001917821043336,-0.3644383207961204,1.032949505242e-08,0.001917821043336,4.999999895722,1.806430266531,4.980632116481,3.072395248198
cal,S,d0,25,0.012,3221,0.01202214719688,0.016015900728545498,0.01202214719688,1.025726809146e-08,4.878584168684,3.362079617344,4.999999896451,1.805709081799
cal,S,d0.1,25,0.0002,2598,0.0002013294976949,0.05754828668942574,0.0002013294976949,1.025726809146e-08,4.997966857614,2.823585902817,4.999999896451,1.805709081799
cal,S,d0.45,25,4.5e-06,2058,4.544829726878e-06,0.08610206283641085,4.544829726878e-06,1.025726809146e-08,4.999954105838,2.432020763679,4.999999896451,1.805709081799
cal,S,d0.75,25,1.9e-07,1609,1.93458249394e-07,0.1566730513269094,1.93458249394e-07,1.025726809146e-08,4.999998046531,2.107563432851,4.999999896451,1.805709081799
cal,S,riposo,25,1e-08,1191,1.025726837212e-08,0.22063437171941505,1.025726837212e-08,1.025726809146e-08,4.999999896451,1.80570908462,4.999999896451,1.805709081799
cal,P,riposo,25,1e-08,1191,1.025726809146e-08,0.22063413405557428,1.025726837212e-08,1.025726809146e-08,4.999999896451,1.80570908462,4.999999896451,1.805709081799
cal,P,d0.75,25,1.095445e-05,2185,1.109748671778e-05,0.11268112954799869,1.025726837212e-08,1.109748671778e-05,4.999999896451,1.80570908462,4.99988793518,2.523832254888
cal,P,d1,25,0.012,3221,0.01202214719688,0.016015900728545498,1.025726837212e-08,0.01202214719688,4.999999896451,1.80570908462,4.878584168684,3.362079617344
cal,S,cal_2mA,25,0.002,2931,0.001996498340798,-0.015220841130523298,0.001996498340798,1.025726809146e-08,4.979837548887,3.077313915565,4.999999896451,1.805709081799
cal,P,cal_2mA,25,0.002,2931,0.001996498340798,-0.015220841130523298,1.025726837212e-08,0.001996498340798,4.999999896451,1.80570908462,4.979837548887,3.077313915565
comp,S,d0,35,0.012,3202,0.009577543077645,-1.958542640574922,0.009577543077645,1.032825901729e-08,4.90327369321,3.342504412715,4.999999895736,1.787293315272
comp,S,d0.1,35,0.0002,2601,0.0002010076692271,0.043652642042543356,0.0002010076692271,1.032825901729e-08,4.997970107721,2.83833345013,4.999999895736,1.787293315272
comp,S,d0.45,35,4.5e-06,2044,4.572157187753e-06,0.13817277925665722,4.572157187753e-06,1.032825901729e-08,4.999953829953,2.434511328894,4.999999895736,1.787293315272
comp,S,d0.75,35,1.9e-07,1580,1.947357837066e-07,0.21384323511314285,1.947357837066e-07,1.032825901729e-08,4.999998033637,2.099235210791,4.999999895736,1.787293315272
comp,S,riposo,35,1e-08,1148,1.032825840708e-08,0.28054190384469346,1.032825840708e-08,1.032825901729e-08,4.999999895736,1.787293309074,4.999999895736,1.787293315272
comp,P,riposo,35,1e-08,1148,1.032825901729e-08,0.280542417020909,1.032825840708e-08,1.032825901729e-08,4.999999895736,1.787293309074,4.999999895736,1.787293315272
comp,P,d0.75,35,1.095445e-05,2175,1.114399387946e-05,0.14900574927911567,1.032825840708e-08,1.114399387946e-05,4.999999895736,1.787293309074,4.999887465673,2.529207632084
comp,P,d1,35,0.012,3202,0.009577543077642,-1.9585426405776432,1.032825840708e-08,0.009577543077642,4.999999895736,1.787293309074,4.90327369321,3.342504412715
comp,S,cal_2mA,35,0.002,2939,0.001917635320382,-0.36527950835242745,0.001917635320382,1.032825901729e-08,4.980633974389,3.095073187978,4.999999895736,1.787293315272
comp,P,cal_2mA,35,0.002,2939,0.00191763532038,-0.3652795083614862,1.032825840708e-08,0.00191763532038,4.999999895736,1.787293309074,4.980633974389,3.095073187978
nocomp,S,d0,35,0.012,3179,0.008415676194286,-3.081844580909844,0.008415676194286,1.392472581583e-08,4.91500806492,3.317149211843,4.99999985942,1.819028648901
nocomp,S,d0.1,35,0.0002,2598,0.0001969691705668,-0.13263479111227466,0.0001969691705668,1.392472581583e-08,4.99801089136,2.83613729747,4.99999985942,1.819028648901
nocomp,S,d0.45,35,4.5e-06,2059,5.0632370386e-06,1.0243149170896468,5.0632370386e-06,1.392472581583e-08,4.999948870917,2.445352616345,4.99999985942,1.819028648901
nocomp,S,d0.75,35,1.9e-07,1610,2.388168660464e-07,1.986227878350094,2.388168660464e-07,1.392472581583e-08,4.999997588513,2.12090972782,4.99999985942,1.819028648901
nocomp,S,riposo,35,1e-08,1192,1.392472670777e-08,2.8757336058601766,1.392472670777e-08,1.392472581583e-08,4.99999985942,1.81902865567,4.99999985942,1.819028648901
nocomp,P,riposo,35,1e-08,1192,1.392472581583e-08,2.8757330494907185,1.392472670777e-08,1.392472581583e-08,4.99999985942,1.81902865567,4.99999985942,1.819028648901
nocomp,P,d0.75,35,1.095445e-05,2186,1.200953864649e-05,0.7987149323457272,1.392472670777e-08,1.200953864649e-05,4.99999985942,1.81902865567,4.999878725108,2.537161392671
nocomp,P,d1,35,0.012,3179,0.008415676194284,-3.081844580911906,1.392472670777e-08,0.008415676194284,4.99999985942,1.81902865567,4.91500806492,3.317149211843
nocomp,S,cal_2mA,35,0.002,2925,0.00175057762541,-1.1569724465655393,0.00175057762541,1.392472581583e-08,4.982321101847,3.083721228757,4.99999985942,1.819028648901
nocomp,P,cal_2mA,35,0.002,2925,0.001750577625413,-1.156972446550654,1.392472670777e-08,0.001750577625413,4.99999985942,1.81902865567,4.982321101847,3.083721228757
cal,S,d0,35,0.012,3243,0.01197111882308,-0.020930089962012205,0.01197111882308,1.032825901729e-08,4.87909933646,3.390134669289,4.999999895736,1.787293315272
cal,S,d0.1,35,0.0002,2601,0.0002010076692271,0.043652642042543356,0.0002010076692271,1.032825901729e-08,4.997970107721,2.83833345013,4.999999895736,1.787293315272
cal,S,d0.45,35,4.5e-06,2044,4.572157187753e-06,0.13817277925665722,4.572157187753e-06,1.032825901729e-08,4.999953829953,2.434511328894,4.999999895736,1.787293315272
cal,S,d0.75,35,1.9e-07,1580,1.947357837066e-07,0.21384323511314285,1.947357837066e-07,1.032825901729e-08,4.999998033637,2.099235210791,4.999999895736,1.787293315272
cal,S,riposo,35,1e-08,1148,1.032825840708e-08,0.28054190384469346,1.032825840708e-08,1.032825901729e-08,4.999999895736,1.787293309074,4.999999895736,1.787293315272
cal,P,riposo,35,1e-08,1148,1.032825901729e-08,0.280542417020909,1.032825840708e-08,1.032825901729e-08,4.999999895736,1.787293309074,4.999999895736,1.787293315272
cal,P,d0.75,35,1.095445e-05,2174,1.106847023218e-05,0.0899404794475376,1.032825840708e-08,1.106847023218e-05,4.999999895736,1.787293309074,4.999888228336,2.528484584793
cal,P,d1,35,0.012,3243,0.01197111882308,-0.020930089962012205,1.032825840708e-08,0.01197111882308,4.999999895736,1.787293309074,4.87909933646,3.390134669289
cal,S,cal_2mA,35,0.002,2945,0.001993815096905,-0.02690231137255734,0.001993815096905,1.032825901729e-08,4.979864628414,3.099972901894,4.999999895736,1.787293315272
cal,P,cal_2mA,35,0.002,2945,0.001993815096908,-0.026902311359486928,1.032825840708e-08,0.001993815096908,4.999999895736,1.787293309074,4.979864628414,3.099972901894
