cella,file,variante,f_hz,amp,gm,rl,t_ins,t_rel,t_fine,tmax,tipo,rif_ins,rif_rel,t_grad,gruppo,conta
hmai_g0,hmai_g0.dat,rif,1000,0,0,100k,1.0,1000,3.5,1e-05,rif_mai,-,-,0.0,1,
hmai_g3,hmai_g3.dat,rif,1000,0,3,100k,1.0,1000,3.5,1e-05,rif_mai,-,-,0.0,1,
hmai_g10,hmai_g10.dat,rif,1000,0,10,100k,1.0,1000,3.5,1e-05,rif_mai,-,-,0.0,1,
hc0x3_lz,hc0x3_lz.dat,caldo_morbido,1000,0,0a3,100k,1.0,1000,3.5,1e-05,evento,hmai_g3,-,0.0,1,A_ins
hc3x0_lz,hc3x0_lz.dat,caldo_morbido,1000,0,3a0,100k,1.0,1000,3.5,1e-05,evento,hmai_g0,-,0.0,1,A_ins
hc3x10_lz,hc3x10_lz.dat,caldo_morbido,1000,0,3a10,100k,1.0,1000,3.5,1e-05,evento,hmai_g10,-,0.0,1,A_ins
hc10x3_lz,hc10x3_lz.dat,caldo_morbido,1000,0,10a3,100k,1.0,1000,3.5,1e-05,evento,hmai_g3,-,0.0,1,A_ins
hc0x10_lz,hc0x10_lz.dat,caldo_morbido,1000,0,0a10,100k,1.0,1000,3.5,1e-05,evento,hmai_g10,-,0.0,1,A_ins
hc10x0_lz,hc10x0_lz.dat,caldo_morbido,1000,0,10a0,100k,1.0,1000,3.5,1e-05,evento,hmai_g0,-,0.0,1,A_ins
