carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,885120,72.1736,80.3354
1,1m,47p,887599,71.8836,80.3354
1,1m,100p,890418,71.5526,80.3354
1,1m,220p,897029,70.7837,80.3354
1,1m,470p,911253,69.1072,80.3354
1,1m,1n,944437,65.142,80.3354
1,1m,2.2n,1.03515E+06,53.4124,80.3354
1,1m,4.7n,1.13652E+06,23.5208,80.3353
1,430,1f,885098,72.0541,80.3354
1,430,47p,887578,71.7637,80.3354
1,430,100p,890396,71.4324,80.3354
1,430,220p,897006,70.6627,80.3354
1,430,470p,911228,68.9843,80.3354
1,430,1n,944408,65.0148,80.3354
1,430,2.2n,1.03511E+06,53.2741,80.3354
1,430,4.7n,1.13648E+06,23.37,80.3353
2,1m,1f,884234,72.1822,80.2329
2,1m,47p,886704,71.8928,80.2328
2,1m,100p,889511,71.5627,80.2328
2,1m,220p,896071,70.7963,80.2328
2,1m,470p,910232,69.1243,80.2328
2,1m,1n,943192,65.1739,80.2328
2,1m,2.2n,1.03314E+06,53.5104,80.2328
2,1m,4.7n,1.13458E+06,23.737,80.2328
2,430,1f,884212,72.0628,80.2329
2,430,47p,886682,71.7731,80.2328
2,430,100p,889489,71.4426,80.2328
2,430,220p,896048,70.6754,80.2328
2,430,470p,910208,69.0015,80.2328
2,430,1n,943164,65.0469,80.2328
2,430,2.2n,1.03309E+06,53.3722,80.2328
2,430,4.7n,1.13454E+06,23.5864,80.2328
