cand,pos,mode,att,rsrc,onoise_uv
1,99,0db,max,1.5,1.63053
1,99,0db,max,430,1.67337
1,99,0db,mid,1.5,1.57813
1,99,0db,mid,430,1.58924
1,99,3db,max,1.5,2.24574
1,99,3db,max,430,2.30833
1,99,3db,mid,1.5,2.16905
1,99,3db,mid,430,2.18533
1,99,10db,max,1.5,4.77411
1,99,10db,max,430,4.9184
1,99,10db,mid,1.5,4.59683
1,99,10db,mid,430,4.63452
1,0,0db,max,1.5,1.63051
1,0,0db,max,430,1.67334
1,0,0db,mid,1.5,1.57812
1,0,0db,mid,430,1.58923
1,0,3db,max,1.5,2.24571
1,0,3db,max,430,2.30828
1,0,3db,mid,1.5,2.16904
1,0,3db,mid,430,2.18532
1,0,10db,max,1.5,4.77402
1,0,10db,max,430,4.9183
1,0,10db,mid,1.5,4.59681
1,0,10db,mid,430,4.63449
1,6,0db,max,1.5,1.32758
1,6,0db,max,430,1.34098
1,6,0db,mid,1.5,1.50586
1,6,0db,mid,430,1.50881
1,6,3db,max,1.5,1.79966
1,6,3db,max,430,1.81956
1,6,3db,mid,1.5,2.063
1,6,3db,mid,430,2.06734
1,6,10db,max,1.5,3.73327
1,6,10db,max,430,3.78031
1,6,10db,mid,1.5,4.35071
1,6,10db,mid,430,4.36081
1,12,0db,max,1.5,1.22163
1,12,0db,max,430,1.22533
1,12,0db,mid,1.5,1.48337
1,12,0db,mid,430,1.48413
1,12,3db,max,1.5,1.64162
1,12,3db,max,430,1.64716
1,12,3db,mid,1.5,2.02993
1,12,3db,mid,430,2.03105
1,12,10db,max,1.5,3.35687
1,12,10db,max,430,3.37018
1,12,10db,mid,1.5,4.27371
1,12,10db,mid,430,4.27631
2,99,0db,max,1.5,1.63053
2,99,0db,max,430,1.67337
2,99,0db,mid,1.5,1.57813
2,99,0db,mid,430,1.58924
2,99,3db,max,1.5,2.24574
2,99,3db,max,430,2.30833
2,99,3db,mid,1.5,2.16905
2,99,3db,mid,430,2.18533
2,99,10db,max,1.5,4.77411
2,99,10db,max,430,4.9184
2,99,10db,mid,1.5,4.59683
2,99,10db,mid,430,4.63452
2,0,0db,max,1.5,1.63051
2,0,0db,max,430,1.67335
2,0,0db,mid,1.5,1.57812
2,0,0db,mid,430,1.58924
2,0,3db,max,1.5,2.24572
2,0,3db,max,430,2.3083
2,0,3db,mid,1.5,2.16904
2,0,3db,mid,430,2.18532
2,0,10db,max,1.5,4.77405
2,0,10db,max,430,4.91833
2,0,10db,mid,1.5,4.59682
2,0,10db,mid,430,4.6345
2,6,0db,max,1.5,1.34497
2,6,0db,max,430,1.35811
2,6,0db,mid,1.5,1.5097
2,6,0db,mid,430,1.51262
2,6,3db,max,1.5,1.82547
2,6,3db,max,430,1.84496
2,6,3db,mid,1.5,2.06865
2,6,3db,mid,430,2.07295
2,6,10db,max,1.5,3.79426
2,6,10db,max,430,3.84024
2,6,10db,mid,1.5,4.36384
2,6,10db,mid,430,4.37384
2,12,0db,max,1.5,1.23746
2,12,0db,max,430,1.24111
2,12,0db,mid,1.5,1.48664
2,12,0db,mid,430,1.48739
2,12,3db,max,1.5,1.66532
2,12,3db,max,430,1.67079
2,12,3db,mid,1.5,2.03473
2,12,3db,mid,430,2.03585
2,12,10db,max,1.5,3.41368
2,12,10db,max,430,3.42676
2,12,10db,mid,1.5,4.28489
2,12,10db,mid,430,4.28749
