var,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
a_come_e,1m,1,1f,888672,70.9178,72.0472,100k
a_come_e,1m,1,47p,889608,70.6958,72.0472,100k
a_come_e,1m,1,100p,890555,70.4449,72.0472,100k
a_come_e,1m,1,220p,892289,69.8764,72.0472,100k
a_come_e,1m,1,470p,893851,68.7146,72.0472,100k
a_come_e,1m,1,1n,888276,66.5395,72.0472,100k
a_come_e,1m,1,1.5n,874928,65.0282,72.0472,100k
a_come_e,1m,1,2.2n,850928,63.7814,72.0472,100k
a_come_e,1m,1,2.7n,833767,63.3537,72.0472,100k
a_come_e,1m,1,3.3n,814967,63.17,72.0472,100k
a_come_e,1m,1,4.7n,780626,63.4624,72.0472,100k
a_come_e,1k,1,1f,888611,70.6397,72.0472,100k
a_come_e,1k,1,47p,889547,70.4174,72.0472,100k
a_come_e,1k,1,100p,890494,70.1662,72.0472,100k
a_come_e,1k,1,220p,892226,69.5972,72.0472,100k
a_come_e,1k,1,470p,893788,68.4351,72.0472,100k
a_come_e,1k,1,1n,888216,66.2618,72.0472,100k
a_come_e,1k,1,1.5n,874872,64.7547,72.0472,100k
a_come_e,1k,1,2.2n,850879,63.5153,72.0472,100k
a_come_e,1k,1,2.7n,833721,63.0928,72.0472,100k
a_come_e,1k,1,3.3n,814925,62.9148,72.0472,100k
a_come_e,1k,1,4.7n,780589,63.2178,72.0472,100k
a_come_e,2.5k,1,1f,888395,70.2262,72.0472,100k
a_come_e,2.5k,1,47p,889330,70.0036,72.0472,100k
a_come_e,2.5k,1,100p,890276,69.752,72.0472,100k
a_come_e,2.5k,1,220p,892000,69.1825,72.0472,100k
a_come_e,2.5k,1,470p,893561,68.0199,72.0472,100k
a_come_e,2.5k,1,1n,888001,65.8495,72.0472,100k
a_come_e,2.5k,1,1.5n,874669,64.3487,72.0472,100k
a_come_e,2.5k,1,2.2n,850703,63.1199,72.0472,100k
a_come_e,2.5k,1,2.7n,833556,62.7051,72.0472,100k
a_come_e,2.5k,1,3.3n,814774,62.5355,72.0472,100k
a_come_e,2.5k,1,4.7n,780458,62.8538,72.0472,100k
a_come_e,2.571k,1,1f,888381,70.2068,72.0472,100k
a_come_e,2.571k,1,47p,889316,69.9841,72.0472,100k
a_come_e,2.571k,1,100p,890262,69.7325,72.0472,100k
a_come_e,2.571k,1,220p,891986,69.1629,72.0472,100k
a_come_e,2.571k,1,470p,893546,68.0004,72.0472,100k
a_come_e,2.571k,1,1n,887988,65.8302,72.0472,100k
a_come_e,2.571k,1,1.5n,874656,64.3296,72.0472,100k
a_come_e,2.571k,1,2.2n,850692,63.1013,72.0472,100k
a_come_e,2.571k,1,2.7n,833546,62.6869,72.0472,100k
a_come_e,2.571k,1,3.3n,814764,62.5176,72.0472,100k
a_come_e,2.571k,1,4.7n,780449,62.8367,72.0472,100k
a_come_e,2.611k,1,1f,888373,70.1958,72.0472,100k
a_come_e,2.611k,1,47p,889308,69.9732,72.0472,100k
a_come_e,2.611k,1,100p,890254,69.7215,72.0472,100k
a_come_e,2.611k,1,220p,891977,69.152,72.0472,100k
a_come_e,2.611k,1,470p,893538,67.9894,72.0472,100k
a_come_e,2.611k,1,1n,887980,65.8192,72.0472,100k
a_come_e,2.611k,1,1.5n,874648,64.3189,72.0472,100k
a_come_e,2.611k,1,2.2n,850686,63.0908,72.0472,100k
a_come_e,2.611k,1,2.7n,833539,62.6766,72.0472,100k
a_come_e,2.611k,1,3.3n,814758,62.5076,72.0472,100k
a_come_e,2.611k,1,4.7n,780444,62.827,72.0472,100k
a_come_e,1m,1,1f,887546,70.917,71.9439,10k
a_come_e,1m,1,47p,888470,70.6974,71.9439,10k
a_come_e,1m,1,100p,889405,70.4493,71.9439,10k
a_come_e,1m,1,220p,891091,69.8875,71.9439,10k
a_come_e,1m,1,470p,892642,68.7386,71.9439,10k
a_come_e,1m,1,1n,887228,66.5835,71.9439,10k
a_come_e,1m,1,1.5n,874100,65.0814,71.944,10k
a_come_e,1m,1,2.2n,850432,63.8343,71.944,10k
a_come_e,1m,1,2.7n,833434,63.4026,71.944,10k
a_come_e,1m,1,3.3n,814783,63.2127,71.944,10k
a_come_e,1m,1,4.7n,780619,63.4917,71.9441,10k
a_come_e,1k,1,1f,887486,70.6392,71.9439,10k
a_come_e,1k,1,47p,888409,70.4194,71.9439,10k
a_come_e,1k,1,100p,889344,70.1709,71.9439,10k
a_come_e,1k,1,220p,891030,69.6087,71.9439,10k
a_come_e,1k,1,470p,892579,68.4594,71.9439,10k
a_come_e,1k,1,1n,887168,66.3061,71.9439,10k
a_come_e,1k,1,1.5n,874044,64.8081,71.944,10k
a_come_e,1k,1,2.2n,850383,63.5683,71.944,10k
a_come_e,1k,1,2.7n,833389,63.1419,71.944,10k
a_come_e,1k,1,3.3n,814741,62.9576,71.944,10k
a_come_e,1k,1,4.7n,780583,63.2472,71.9441,10k
a_come_e,2.5k,1,1f,887270,70.2263,71.9439,10k
a_come_e,2.5k,1,47p,888192,70.0061,71.9439,10k
a_come_e,2.5k,1,100p,889127,69.7572,71.9439,10k
a_come_e,2.5k,1,220p,890811,69.1944,71.9439,10k
a_come_e,2.5k,1,470p,892352,68.0448,71.9439,10k
a_come_e,2.5k,1,1n,886954,65.8943,71.9439,10k
a_come_e,2.5k,1,1.5n,873841,64.4025,71.944,10k
a_come_e,2.5k,1,2.2n,850208,63.1732,71.944,10k
a_come_e,2.5k,1,2.7n,833224,62.7543,71.944,10k
a_come_e,2.5k,1,3.3n,814589,62.5784,71.944,10k
a_come_e,2.5k,1,4.7n,780451,62.8832,71.9441,10k
a_come_e,2.571k,1,1f,887256,70.2068,71.9439,10k
a_come_e,2.571k,1,47p,888178,69.9866,71.9439,10k
a_come_e,2.571k,1,100p,889113,69.7378,71.9439,10k
a_come_e,2.571k,1,220p,890796,69.1749,71.9439,10k
a_come_e,2.571k,1,470p,892338,68.0253,71.9439,10k
a_come_e,2.571k,1,1n,886940,65.875,71.9439,10k
a_come_e,2.571k,1,1.5n,873828,64.3834,71.944,10k
a_come_e,2.571k,1,2.2n,850196,63.1546,71.944,10k
a_come_e,2.571k,1,2.7n,833213,62.7361,71.944,10k
a_come_e,2.571k,1,3.3n,814579,62.5605,71.944,10k
a_come_e,2.571k,1,4.7n,780443,62.8661,71.9441,10k
a_come_e,2.611k,1,1f,887248,70.1959,71.9439,10k
a_come_e,2.611k,1,47p,888170,69.9757,71.9439,10k
a_come_e,2.611k,1,100p,889104,69.7268,71.9439,10k
a_come_e,2.611k,1,220p,890788,69.1639,71.9439,10k
a_come_e,2.611k,1,470p,892330,68.0143,71.9439,10k
a_come_e,2.611k,1,1n,886932,65.8641,71.9439,10k
a_come_e,2.611k,1,1.5n,873821,64.3727,71.944,10k
a_come_e,2.611k,1,2.2n,850190,63.1441,71.944,10k
a_come_e,2.611k,1,2.7n,833207,62.7258,71.944,10k
a_come_e,2.611k,1,3.3n,814574,62.5505,71.944,10k
a_come_e,2.611k,1,4.7n,780438,62.8564,71.9441,10k
b_min,1m,1,1f,888044,70.9283,72.0373,100k
b_min,1m,1,47p,888980,70.7066,72.0373,100k
b_min,1m,1,100p,889928,70.456,72.0373,100k
b_min,1m,1,220p,891647,69.8884,72.0373,100k
b_min,1m,1,470p,893217,68.728,72.0373,100k
b_min,1m,1,1n,887684,66.5544,72.0373,100k
b_min,1m,1,1.5n,874364,65.0437,72.0373,100k
b_min,1m,1,2.2n,850421,63.7958,72.0373,100k
b_min,1m,1,2.7n,833274,63.3673,72.0373,100k
b_min,1m,1,3.3n,814496,63.1823,72.0373,100k
b_min,1m,1,4.7n,780182,63.4723,72.0373,100k
b_min,1k,1,1f,888004,70.7292,72.0373,100k
b_min,1k,1,47p,888941,70.5072,72.0373,100k
b_min,1k,1,100p,889889,70.2564,72.0373,100k
b_min,1k,1,220p,891606,69.6885,72.0373,100k
b_min,1k,1,470p,893176,68.5277,72.0373,100k
b_min,1k,1,1n,887646,66.3554,72.0373,100k
b_min,1k,1,1.5n,874328,64.8477,72.0373,100k
b_min,1k,1,2.2n,850390,63.6051,72.0373,100k
b_min,1k,1,2.7n,833245,63.1804,72.0373,100k
b_min,1k,1,3.3n,814469,62.9995,72.0373,100k
b_min,1k,1,4.7n,780158,63.2971,72.0373,100k
b_min,2.5k,1,1f,887864,70.4328,72.0373,100k
b_min,2.5k,1,47p,888800,70.2106,72.0373,100k
b_min,2.5k,1,100p,889747,69.9594,72.0373,100k
b_min,2.5k,1,220p,891460,69.3911,72.0373,100k
b_min,2.5k,1,470p,893028,68.2301,72.0373,100k
b_min,2.5k,1,1n,887506,66.0598,72.0373,100k
b_min,2.5k,1,1.5n,874196,64.5566,72.0373,100k
b_min,2.5k,1,2.2n,850276,63.3216,72.0373,100k
b_min,2.5k,1,2.7n,833138,62.9024,72.0373,100k
b_min,2.5k,1,3.3n,814371,62.7276,72.0373,100k
b_min,2.5k,1,4.7n,780073,63.0362,72.0373,100k
b_min,2.571k,1,1f,887855,70.4188,72.0373,100k
b_min,2.571k,1,47p,888791,70.1966,72.0373,100k
b_min,2.571k,1,100p,889738,69.9455,72.0373,100k
b_min,2.571k,1,220p,891450,69.3771,72.0373,100k
b_min,2.571k,1,470p,893019,68.2161,72.0373,100k
b_min,2.571k,1,1n,887497,66.0459,72.0373,100k
b_min,2.571k,1,1.5n,874187,64.5429,72.0373,100k
b_min,2.571k,1,2.2n,850268,63.3083,72.0373,100k
b_min,2.571k,1,2.7n,833131,62.8893,72.0373,100k
