var,vto_v,kf,idss_probe_27c_a,id_a,id_b,vgs_a,vgs_b,gm_a,gm_b,ig_a,ig_b,vds_a,vds_b,ic_q106,vce_q106,ic_q117,ic_q118,v_ncasc,ic_q122,ic_q125,ic_q132,ic_q133,v_src,v_out,i_vpp,i_vmm
a_come_e,-1.130,9e-19,0.00259188,0.00221091,0.00216215,-0.146453,-0.157375,0.00449579,0.00444601,-9.33674E-12,-9.36614E-12,9.1285,9.13405,0.00437306,14.2555,0.00219267,0.00214432,9.8866,-0.00644244,0.00644249,0.0145573,-0.0145572,-0.140965,-0.0172606,-0.0263615,0.0273846
a_come_e_kf0,-1.130,0,0.00259188,0.00221091,0.00216215,-0.146453,-0.157375,0.00449579,0.00444601,-9.33674E-12,-9.36614E-12,9.1285,9.13405,0.00437306,14.2555,0.00219267,0.00214432,9.8866,-0.00644244,0.00644249,0.0145573,-0.0145572,-0.140965,-0.0172606,-0.0263615,0.0273846
a_tip,-1.696,9e-19,0.00548711,0.00221149,0.00216272,-0.711173,-0.722106,0.00449112,0.0044414,-9.90144E-12,-9.93086E-12,8.56376,8.56931,0.00437421,14.82,0.00219325,0.00214489,9.88657,-0.00644252,0.00644257,0.0145573,-0.0145573,0.42368,-0.017272,-0.0263627,0.0273858
b_min,-2.086,9e-19,0.00797616,0.00221188,0.00216312,-1.10029,-1.11123,0.00448789,0.00443821,-1.02905E-11,-1.032E-11,8.17463,8.18018,0.004375,15.209,0.00219364,0.00214528,9.88655,-0.00644257,0.00644262,0.0145574,-0.0145573,0.812745,-0.0172799,-0.0263636,0.0273867
b_tip,-2.557,9e-19,0.011452,0.00221229,0.00216353,-1.57023,-1.58119,0.00448392,0.0044343,-1.07604E-11,-1.07899E-11,7.70468,7.71023,0.00437894,15.6788,0.00219405,0.00214568,9.88653,-0.00644265,0.00644268,0.0145574,-0.0145574,1.28264,-0.017291,-0.0263645,0.0273876
b_max,-2.976,9e-19,0.0149306,0.00221272,0.00216395,-1.98828,-1.99924,0.00448045,0.00443087,-1.11785E-11,-1.12079E-11,7.28662,7.29217,0.00437952,16.0967,0.00219447,0.00214611,9.88651,-0.00644271,0.00644274,0.0145574,-0.0145574,1.70063,-0.0172995,-0.0263655,0.0273886
a_ripristinato,-1.130,9e-19,0.00259188,0.00221091,0.00216215,-0.146453,-0.157375,0.00449579,0.00444601,-9.33674E-12,-9.36614E-12,9.1285,9.13405,0.00437306,14.2555,0.00219267,0.00214432,9.8866,-0.00644244,0.00644249,0.0145573,-0.0145572,-0.140965,-0.0172606,-0.0263615,0.0273846
xa,-1.500,0,0.0048422,0.00221131,0.00216255,-0.491433,-0.502645,0.00438505,0.00433656,-9.69792E-12,-9.72687E-12,8.73928,8.74483,0.00437385,14.6446,0.00219307,0.00214471,9.88658,-0.0064425,0.00644254,0.0145573,-0.0145573,0.24819,-0.0165757,-0.0263623,0.0273855
