var,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
a_come_e,2.611k,1,1f,887831,65.509,81.2287,10k
a_come_e,2.611k,1,47p,889629,65.2526,81.2287,10k
a_come_e,2.611k,1,100p,891567,64.9603,81.2287,10k
a_come_e,2.611k,1,220p,895628,64.2871,81.2287,10k
a_come_e,2.611k,1,470p,901932,62.8728,81.2287,10k
a_come_e,2.611k,1,1n,904535,60.0934,81.2288,10k
a_come_e,2.611k,1,1.5n,895169,58.0934,81.2288,10k
a_come_e,2.611k,1,2.2n,872188,56.4304,81.2288,10k
a_come_e,2.611k,1,2.7n,854187,55.8577,81.2289,10k
a_come_e,2.611k,1,3.3n,833843,55.598,81.2289,10k
a_come_e,2.611k,1,4.7n,795858,55.8897,81.229,10k
b_min,1m,1,1f,888626,66.2603,81.4051,100k
b_min,1m,1,47p,890451,66.0028,81.4051,100k
b_min,1m,1,100p,892440,65.7084,81.4051,100k
b_min,1m,1,220p,896560,65.0314,81.4051,100k
b_min,1m,1,470p,902949,63.6069,81.4051,100k
b_min,1m,1,1n,905528,60.8017,81.4051,100k
b_min,1m,1,1.5n,895951,58.7805,81.4051,100k
b_min,1m,1,2.2n,872598,57.098,81.4051,100k
b_min,1m,1,2.7n,854382,56.5156,81.4051,100k
b_min,1m,1,3.3n,833852,56.2466,81.4051,100k
b_min,1m,1,4.7n,795636,56.5222,81.4051,100k
b_min,1k,1,1f,888585,66.0619,81.4051,100k
b_min,1k,1,47p,890410,65.804,81.4051,100k
b_min,1k,1,100p,892398,65.5092,81.4051,100k
b_min,1k,1,220p,896517,64.8313,81.4051,100k
b_min,1k,1,470p,902904,63.4055,81.4051,100k
b_min,1k,1,1n,905484,60.5999,81.4051,100k
b_min,1k,1,1.5n,895909,58.5809,81.4051,100k
b_min,1k,1,2.2n,872561,56.9034,81.4051,100k
b_min,1k,1,2.7n,854348,56.325,81.4051,100k
b_min,1k,1,3.3n,833822,56.0605,81.4051,100k
b_min,1k,1,4.7n,795610,56.3445,81.4051,100k
b_min,2.5k,1,1f,888443,65.7671,81.4051,100k
b_min,2.5k,1,47p,890266,65.5086,81.4051,100k
b_min,2.5k,1,100p,892249,65.2134,81.4051,100k
b_min,2.5k,1,220p,896365,64.5343,81.4051,100k
b_min,2.5k,1,470p,902750,63.1067,81.4051,100k
b_min,2.5k,1,1n,905329,60.3008,81.4051,100k
b_min,2.5k,1,1.5n,895762,58.2852,81.4051,100k
b_min,2.5k,1,2.2n,872432,56.6151,81.4051,100k
b_min,2.5k,1,2.7n,854231,56.0424,81.4051,100k
b_min,2.5k,1,3.3n,833715,55.7843,81.4051,100k
b_min,2.5k,1,4.7n,795520,56.0804,81.4051,100k
b_min,2.571k,1,1f,888434,65.7532,81.4051,100k
b_min,2.571k,1,47p,890257,65.4947,81.4051,100k
b_min,2.571k,1,100p,892239,65.1995,81.4051,100k
b_min,2.571k,1,220p,896356,64.5204,81.4051,100k
b_min,2.571k,1,470p,902740,63.0927,81.4051,100k
b_min,2.571k,1,1n,905319,60.2868,81.4051,100k
b_min,2.571k,1,1.5n,895753,58.2713,81.4051,100k
