lato,mode,hmax,hint_v,ea_max_nv
serie_lato_sorgente,0db,9.41573E-08,7.68867E-06,1.30061E+08
serie_lato_sorgente,10db,2.9206E-07,2.39999E-05,4.16669E+07
nodo_ain,0db,7.21778E-06,0.000589388,1.69668E+06
nodo_ain,10db,2.23883E-05,0.00183975,543552
