col0,col1,col2,col3,col4,col5,col6,col7
0.0,0.0,0.0,-0.0487255672,0.0,0.0,0.0,0.97134241
1e-08,3.14159265e-05,1e-08,-0.0487266774,1e-08,-1.10943482e-06,1e-08,0.971340742
2e-08,6.28318529e-05,2e-08,-0.0487289328,2e-08,-3.36331817e-06,2e-08,0.971337942
4e-08,0.000125663705,4e-08,-0.0487344782,4e-08,-8.90492743e-06,4e-08,0.971331831
8e-08,0.000251327402,8e-08,-0.0487390585,8e-08,-1.34820479e-05,8e-08,0.971329301
1.6e-07,0.00050265474,1.6e-07,-0.0486706054,1.6e-07,5.49243235e-05,1.6e-07,0.971405303
3.2e-07,0.00100530897,3.2e-07,-0.0482553141,3.2e-07,0.000469931751,3.2e-07,0.971829789
6.4e-07,0.00201061388,6.4e-07,-0.0467910862,6.4e-07,0.00193315814,6.4e-07,0.973311876
1.28e-06,0.00402119525,1.28e-06,-0.0423539448,1.28e-06,0.00636725998,1.28e-06,0.977791325
2.28e-06,0.00716258625,2.28e-06,-0.0334591273,2.28e-06,0.0152559674,2.28e-06,0.986751755
3.28e-06,0.0103036945,3.28e-06,-0.0237699027,3.28e-06,0.0249385105,3.28e-06,0.996510643
4.28e-06,0.013444396,4.28e-06,-0.0139043115,4.28e-06,0.0347972694,4.28e-06,1.00644356
5.28e-06,0.0165845667,5.28e-06,-0.00402161544,5.28e-06,0.044673091,5.28e-06,1.01639603
6.28e-06,0.0197240826,6.28e-06,0.00587725981,6.28e-06,0.0545650502,6.28e-06,1.02636247
7.28e-06,0.02286282,7.28e-06,0.0157651467,7.28e-06,0.064445998,7.28e-06,1.03631988
8.28e-06,0.0260006547,8.28e-06,0.0256591179,8.28e-06,0.0743329953,8.28e-06,1.04628161
9.28e-06,0.0291374629,9.28e-06,0.0355433284,9.28e-06,0.0842102081,9.28e-06,1.05623506
1.028e-05,0.0322731209,1.028e-05,0.0454296836,1.028e-05,0.0940895335,1.028e-05,1.06618935
1.128e-05,0.0354075048,1.128e-05,0.0553081335,1.128e-05,0.103960929,1.128e-05,1.07613676
1.228e-05,0.0385404908,1.228e-05,0.065185532,1.228e-05,0.113831242,1.228e-05,1.08608224
1.328e-05,0.0416719553,1.328e-05,0.0750563729,1.328e-05,0.123694972,1.328e-05,1.09602178
1.428e-05,0.0448017747,1.428e-05,0.08492353,1.428e-05,0.133554991,1.428e-05,1.10595712
1.528e-05,0.0479298254,1.528e-05,0.0947849337,1.528e-05,0.143409229,1.528e-05,1.11588699
1.628e-05,0.0510559839,1.628e-05,0.104640547,1.628e-05,0.153257651,1.628e-05,1.12581084
1.728e-05,0.0541801268,1.728e-05,0.114490717,1.728e-05,0.163100602,1.728e-05,1.13572926
1.828e-05,0.0573021308,1.828e-05,0.124333451,1.828e-05,0.172936093,1.828e-05,1.14564025
1.928e-05,0.0604218726,1.928e-05,0.134170631,1.928e-05,0.182766002,1.928e-05,1.15554548
2.028e-05,0.063539229,2.028e-05,0.143999111,2.028e-05,0.192587187,2.028e-05,1.16544218
2.128e-05,0.066654077,2.128e-05,0.153821591,2.128e-05,0.202402346,2.128e-05,1.17533255
2.228e-05,0.0697662936,2.228e-05,0.1636344,2.228e-05,0.212207809,2.228e-05,1.1852135
2.328e-05,0.072875756,2.328e-05,0.173440514,2.328e-05,0.222006553,2.328e-05,1.19508735
2.428e-05,0.0759823414,2.428e-05,0.183236197,2.428e-05,0.231794842,2.428e-05,1.20495107
2.528e-05,0.0790859271,2.528e-05,0.19302432,2.528e-05,0.241575546,2.528e-05,1.21480678
2.628e-05,0.0821863906,2.628e-05,0.202801391,2.628e-05,0.251345176,2.628e-05,1.22465176
2.728e-05,0.0852836095,2.728e-05,0.21256993,2.728e-05,0.261106249,2.728e-05,1.23448775
2.828e-05,0.0883774616,2.828e-05,0.222326879,2.828e-05,0.27085571,2.828e-05,1.24431244
2.928e-05,0.0914678247,2.928e-05,0.232074272,2.928e-05,0.28059559,2.928e-05,1.25412714
3.028e-05,0.0945545769,3.028e-05,0.241809569,3.028e-05,0.290323354,3.028e-05,1.26393
3.128e-05,0.0976375961,3.128e-05,0.251534271,3.128e-05,0.3000405,3.128e-05,1.27372188
3.228e-05,0.100716761,3.228e-05,0.261246376,3.228e-05,0.309745026,3.228e-05,1.28350135
3.328e-05,0.103791949,3.328e-05,0.270946863,3.328e-05,0.319437913,3.328e-05,1.29326886
3.428e-05,0.10686304,3.428e-05,0.280634226,3.428e-05,0.329117656,3.428e-05,1.30302338
3.528e-05,0.109929913,3.528e-05,0.290308983,3.528e-05,0.33878477,3.528e-05,1.312765
3.628e-05,0.112992445,3.628e-05,0.299970057,3.628e-05,0.348438182,3.628e-05,1.32249302
3.728e-05,0.116050517,3.728e-05,0.309617577,3.728e-05,0.358078018,3.728e-05,1.33220723
3.828e-05,0.119104007,3.828e-05,0.319250814,3.828e-05,0.367703552,3.828e-05,1.34190719
3.928e-05,0.122152795,3.928e-05,0.328869594,3.928e-05,0.377314608,3.928e-05,1.35159247
4.028e-05,0.125196761,4.028e-05,0.338473453,4.028e-05,0.386910725,4.028e-05,1.36126282
4.128e-05,0.128235784,4.128e-05,0.348061995,4.128e-05,0.396491504,4.128e-05,1.37091767
4.228e-05,0.131269745,4.228e-05,0.35763494,4.228e-05,0.406056668,4.228e-05,1.38055686
4.328e-05,0.134298523,4.328e-05,0.367191747,4.328e-05,0.415605676,4.328e-05,1.39017976
4.428e-05,0.137322,4.428e-05,0.37673225,4.428e-05,0.425138361,4.428e-05,1.39978627
4.528e-05,0.140340055,4.528e-05,0.386255827,4.528e-05,0.434654102,4.528e-05,1.40937571
4.628e-05,0.14335257,4.628e-05,0.395762369,4.628e-05,0.444152791,4.628e-05,1.418948
4.728e-05,0.146359426,4.728e-05,0.405251224,4.728e-05,0.453633775,4.728e-05,1.42850248
4.828e-05,0.149360503,4.828e-05,0.414722295,4.828e-05,0.463096958,4.828e-05,1.43803905
