pos,rld,cprobe,fcross_hz,pm_deg,tdb_10hz
1,10k,1f,884878,72.1882,80.3525
1,10k,47p,887282,71.9008,80.3525
1,10k,100p,889891,71.5724,80.3525
1,10k,220p,895452,70.8121,80.3525
1,10k,470p,904659,69.1988,80.3526
1,10k,1n,910976,66.0045,80.3526
1,10k,1.5n,901641,63.7389,80.3526
1,10k,2.2n,875385,61.9494,80.3527
1,10k,2.7n,854483,61.3842,80.3527
1,10k,3.3n,830908,61.1732,80.3528
1,10k,4.7n,787117,61.6048,80.3529
2,10k,1f,884878,72.1882,80.3525
2,10k,47p,887355,71.8984,80.3525
2,10k,100p,890170,71.5678,80.3525
2,10k,220p,896768,70.7998,80.3525
2,10k,470p,910973,69.1249,80.3525
2,10k,1n,944096,65.1648,80.3525
2,10k,1.5n,979149,60.8194,80.3525
2,10k,2.2n,1.03461E+06,53.4562,80.3525
2,10k,2.7n,1.07596E+06,47.207,80.3525
2,10k,3.3n,1.11846E+06,39.0409,80.3525
2,10k,4.7n,1.1362E+06,23.5808,80.3524
1,50k,1f,886084,72.2,80.5318
1,50k,47p,888520,71.9096,80.5318
1,50k,100p,891162,71.5778,80.5318
1,50k,220p,896828,70.8083,80.5318
1,50k,470p,906142,69.1771,80.5318
1,50k,1n,912460,65.9496,80.5318
1,50k,1.5n,902868,63.6694,80.5318
1,50k,2.2n,876178,61.8811,80.5318
1,50k,2.7n,855031,61.3229,80.5318
1,50k,3.3n,831243,61.1214,80.5318
1,50k,4.7n,787206,61.5705,80.5318
2,50k,1f,886084,72.2,80.5318
2,50k,47p,888575,71.9094,80.5318
2,50k,100p,891409,71.5778,80.5318
2,50k,220p,898072,70.8067,80.5318
2,50k,470p,912371,69.1263,80.5318
2,50k,1n,945789,65.1484,80.5318
2,50k,1.5n,981240,60.7762,80.5318
2,50k,2.2n,1.03739E+06,53.3551,80.5318
2,50k,2.7n,1.07937E+06,47.0386,80.5318
2,50k,3.3n,1.1223E+06,38.7957,80.5317
2,50k,4.7n,1.13926E+06,23.2878,80.5317
