pos,rld,cprobe,fcross_hz,pm_deg,tdb_10hz
1,10k,1f,786141,71.0971,79.4508
1,10k,47p,787490,70.8715,79.4508
1,10k,100p,788937,70.6156,79.4508
1,10k,220p,791909,70.0327,79.4508
1,10k,470p,796653,68.8195,79.4508
1,10k,1n,799228,66.4412,79.4509
1,10k,1.5n,792952,64.6836,79.4509
1,10k,2.2n,775671,63.14,79.4509
1,10k,2.7n,761130,62.5714,79.451
1,10k,3.3n,743889,62.2872,79.451
1,10k,4.7n,709723,62.5212,79.4511
2,10k,1f,786141,71.0971,79.4508
2,10k,47p,787534,70.8693,79.4508
2,10k,100p,789107,70.6107,79.4508
2,10k,220p,792683,70.0183,79.4508
2,10k,470p,800333,68.7488,79.4508
2,10k,1n,816930,65.906,79.4508
2,10k,1.5n,833003,63.0231,79.4508
2,10k,2.2n,855781,58.6441,79.4507
2,10k,2.7n,871507,55.291,79.4507
2,10k,3.3n,888897,51.0654,79.4507
2,10k,4.7n,914845,41.1247,79.4507
1,50k,1f,787107,71.0983,79.6133
1,50k,47p,788472,70.8704,79.6133
1,50k,100p,789937,70.6119,79.6133
1,50k,220p,792945,70.023,79.6133
1,50k,470p,797766,68.7964,79.6133
1,50k,1n,800321,66.3951,79.6133
1,50k,1.5n,793878,64.6262,79.6133
1,50k,2.2n,776320,63.0802,79.6133
1,50k,2.7n,761612,62.5151,79.6133
1,50k,3.3n,744206,62.2375,79.6134
1,50k,4.7n,709821,62.4865,79.6134
2,50k,1f,787107,71.0983,79.6133
2,50k,47p,788506,70.8699,79.6133
2,50k,100p,790087,70.6106,79.6133
2,50k,220p,793680,70.0167,79.6133
2,50k,470p,801396,68.743,79.6133
2,50k,1n,818114,65.8905,79.6133
2,50k,1.5n,834320,62.9961,79.6133
2,50k,2.2n,857291,58.5972,79.6133
2,50k,2.7n,873179,55.2258,79.6133
2,50k,3.3n,890685,50.9797,79.6133
2,50k,4.7n,916866,40.9811,79.6133
