pos,rld,cprobe,fcross_hz,pm_deg,tdb_10hz
1,10k,1f,557252,69.2767,81.9655
1,10k,47p,557811,69.1275,81.9655
1,10k,100p,558417,68.9586,81.9655
1,10k,220p,559683,68.5741,81.9655
1,10k,470p,561828,67.7703,81.9655
1,10k,1n,564025,66.11,81.9656
1,10k,1.5n,563026,64.6974,81.9656
1,10k,2.2n,557565,63.1014,81.9656
1,10k,2.7n,551682,62.2601,81.9657
1,10k,3.3n,543611,61.5425,81.9657
1,10k,4.7n,524291,60.7801,81.9658
2,10k,1f,557252,69.2767,81.9655
2,10k,47p,557827,69.1261,81.9655
2,10k,100p,558476,68.9556,81.9655
2,10k,220p,559943,68.567,81.9655
2,10k,470p,563013,67.7452,81.9655
2,10k,1n,569620,65.946,81.9655
2,10k,1.5n,575771,64.1833,81.9655
2,10k,2.2n,584374,61.6006,81.9654
2,10k,2.7n,590293,59.6831,81.9654
2,10k,3.3n,597144,57.303,81.9654
2,10k,4.7n,610765,51.5228,81.9653
1,50k,1f,557903,69.2803,82.151
1,50k,47p,558469,69.1296,82.151
1,50k,100p,559081,68.959,82.151
1,50k,220p,560363,68.5707,82.151
1,50k,470p,562536,67.7585,82.151
1,50k,1n,564758,66.0811,82.151
1,50k,1.5n,563721,64.656,82.151
1,50k,2.2n,558139,63.0504,82.151
1,50k,2.7n,552168,62.2063,82.151
1,50k,3.3n,543986,61.4894,82.151
1,50k,4.7n,524477,60.7349,82.151
2,50k,1f,557903,69.2803,82.151
2,50k,47p,558480,69.1294,82.151
2,50k,100p,559132,68.9584,82.151
2,50k,220p,560607,68.5689,82.151
2,50k,470p,563709,67.7445,82.151
2,50k,1n,570349,65.9405,82.151
2,50k,1.5n,576556,64.1718,82.151
2,50k,2.2n,585205,61.5812,82.151
2,50k,2.7n,591186,59.6557,82.1509
2,50k,3.3n,598078,57.2671,82.1509
2,50k,4.7n,611813,51.4622,82.1509
