cablaggio,f_hz,rj1,blk,icmax_q132,icmin_q132,icmax_q133,icmin_q133,classe_a,vpk_outa,vpk_j2,irms_rsep1
1,20000,470k,f2,0.0146032,0.0145084,-0.0145255,-0.0145907,1,3.80194,3.81482,1.149E-05
1,20000,10k,a,0.0147542,0.0143562,-0.0143796,-0.014735,1,3.80194,3.81482,0.000274496
1,20000,10k,f1,0.0147544,0.0143576,-0.0143794,-0.0147335,1,3.80194,3.81482,0.000274496
1,20000,10k,f2,0.0146032,0.0145084,-0.0145255,-0.0145907,1,3.80194,3.81482,0.000274496
1,20000,1k,a,0.0147542,0.0143562,-0.0143796,-0.014735,1,3.80191,3.81487,0.00258458
1,20000,1k,f1,0.0163869,0.0127363,-0.0127813,-0.0163472,1,3.80191,3.81487,0.00258458
1,20000,1k,f2,0.0146032,0.0145084,-0.0145255,-0.0145907,1,3.80191,3.81487,0.00258458
1,20000,100,a,0.0147542,0.0143562,-0.0143796,-0.014735,1,3.80174,3.81501,0.0183687
1,20000,100,f1,0.0281366,0.00228277,-0.0024409,-0.027983,1,3.80174,3.81501,0.0183687
1,20000,100,f2,0.0146032,0.0145084,-0.0145255,-0.0145907,1,3.80174,3.81501,0.0183687
1,20000,47,a,0.0147542,0.0143562,-0.0143796,-0.014735,1,3.80165,3.81503,0.0287163
1,20000,47,f1,0.0401685,-2.70979E-06,2.75406E-06,-0.0401717,0,3.80165,3.81503,0.0287163
1,20000,47,f2,0.0146032,0.0145084,-0.0145255,-0.0145907,1,3.80165,3.81503,0.0287163
1,20000,22,a,0.0147542,0.0143562,-0.0143796,-0.014735,1,3.80156,3.81505,0.0391089
1,20000,22,f1,0.0547016,-9.90367E-06,1.17835E-05,-0.054709,0,3.80156,3.81505,0.0391089
1,20000,22,f2,0.0146032,0.0145084,-0.0145255,-0.0145907,1,3.80156,3.81505,0.0391089
1,20000,10,a,0.0147542,0.0143562,-0.0143796,-0.014735,1,3.80154,3.81505,0.0473332
1,20000,10,f1,0.066199,-1.23972E-05,1.47924E-05,-0.0662113,0,3.80154,3.81505,0.0473332
1,20000,10,f2,0.0146032,0.0145084,-0.0145255,-0.0145907,1,3.80154,3.81505,0.0473332
1,20000,1,a,0.0147542,0.0143562,-0.0143796,-0.014735,1,3.80154,3.81505,0.0561905
1,20000,1,f1,0.0785834,-1.44444E-05,1.72148E-05,-0.078605,0,3.80154,3.81505,0.0561905
1,20000,1,f2,0.0146032,0.0145084,-0.0145255,-0.0145907,1,3.80154,3.81505,0.0561905
1,20000,0.01,a,0.0147542,0.0143562,-0.0143796,-0.014735,1,3.80155,3.81505,0.0573712
1,20000,0.01,f1,0.0802341,-1.45994E-05,1.74369E-05,-0.0802574,0,3.80155,3.81505,0.0573712
1,20000,0.01,f2,0.0146032,0.0145084,-0.0145255,-0.0145907,1,3.80155,3.81505,0.0573712
2,1000,470k,a,0.0148042,0.0143064,-0.014331,-0.0147829,1,3.79993,3.8097,1.1489E-05
2,1000,470k,f1,0.0145611,0.0145512,-0.0145411,-0.0145711,1,3.79993,3.8097,1.1489E-05
2,1000,470k,f2,0.0145611,0.0145512,-0.0145411,-0.0145711,1,3.79993,3.8097,1.1489E-05
2,1000,10k,a,0.0149888,0.0141209,-0.014149,-0.0149665,1,3.79991,3.80969,0.000274467
2,1000,10k,f1,0.0145611,0.0145512,-0.0145411,-0.0145711,1,3.79991,3.80969,0.000274467
2,1000,10k,f2,0.0145611,0.0145512,-0.0145411,-0.0145711,1,3.79991,3.80969,0.000274467
2,1000,1k,a,0.0165978,0.0124783,-0.012577,-0.0166064,1,3.79977,3.80955,0.00258119
2,1000,1k,f1,0.0145611,0.0145512,-0.0145411,-0.0145711,1,3.79977,3.80955,0.00258119
