out,trim,att,mode,zrmax,zr20,zr1k,zr20k,zm20,zm1k,zn1k,zn20k
main,0,0,0db,60.0371,60.0371,47.0181,47.0184,1693.38,57.9254,0.0366385,0.572406
fix1,0,0,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,0,0,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,0,0,3db,60.0467,60.0467,47.0278,47.0634,1693.38,57.9263,0.0520294,0.810176
fix1,0,0,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,0,0,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,0,0,10db,60.0864,60.0864,47.068,47.3323,1693.38,57.9304,0.115454,1.77549
fix1,0,0,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,0,0,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,0,25,0db,60.0371,60.0371,47.0181,47.0183,1693.38,57.9254,0.0366381,0.572409
fix1,0,25,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,0,25,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,0,25,3db,60.0467,60.0467,47.0278,47.0633,1693.38,57.9263,0.0520288,0.810182
fix1,0,25,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,0,25,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,0,25,10db,60.0864,60.0864,47.068,47.3319,1693.38,57.9304,0.115452,1.77553
fix1,0,25,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,0,25,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,0,50,0db,60.0371,60.0371,47.0181,47.0183,1693.38,57.9254,0.0366378,0.572408
fix1,0,50,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,0,50,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,0,50,3db,60.0467,60.0467,47.0278,47.0632,1693.38,57.9263,0.0520282,0.810182
fix1,0,50,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,0,50,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,0,50,10db,60.0864,60.0864,47.068,47.3318,1693.38,57.9304,0.11545,1.77554
fix1,0,50,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,0,50,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,0,75,0db,60.0371,60.0371,47.0181,47.0183,1693.38,57.9254,0.0366374,0.572403
fix1,0,75,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,0,75,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,0,75,3db,60.0467,60.0467,47.0278,47.0632,1693.38,57.9263,0.0520277,0.810174
fix1,0,75,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,0,75,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,0,75,10db,60.0864,60.0864,47.068,47.3319,1693.38,57.9304,0.115448,1.77551
fix1,0,75,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.036641,0.572087
fix2,0,75,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.036641,0.572087
main,0,100,0db,60.0371,60.0371,47.0181,47.0184,1693.38,57.9254,0.036637,0.572395
fix1,0,100,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,0,100,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,0,100,3db,60.0467,60.0467,47.0278,47.0634,1693.38,57.9263,0.0520271,0.810159
fix1,0,100,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,0,100,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,0,100,10db,60.0864,60.0864,47.068,47.3322,1693.38,57.9304,0.115447,1.77545
fix1,0,100,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,0,100,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,6,0,0db,60.0371,60.0371,47.0181,47.0184,1693.38,57.9254,0.0366385,0.572406
fix1,6,0,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,6,0,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,6,0,3db,60.0467,60.0467,47.0278,47.0634,1693.38,57.9263,0.0520294,0.810176
fix1,6,0,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,6,0,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,6,0,10db,60.0864,60.0864,47.068,47.3323,1693.38,57.9304,0.115454,1.77549
fix1,6,0,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,6,0,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,6,25,0db,60.0371,60.0371,47.0181,47.0183,1693.38,57.9254,0.0366383,0.57241
fix1,6,25,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,6,25,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,6,25,3db,60.0467,60.0467,47.0278,47.0632,1693.38,57.9263,0.0520292,0.810185
fix1,6,25,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,6,25,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,6,25,10db,60.0864,60.0864,47.068,47.3319,1693.38,57.9304,0.115453,1.77554
fix1,6,25,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
