cand,pos,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,0,1m,1f,452189,70.2118,79.2632
1,0,1m,47p,452435,70.1025,79.2632
1,0,1m,100p,452712,69.979,79.2632
1,0,1m,220p,453334,69.6986,79.2632
1,0,1m,470p,454614,69.1106,79.2632
1,0,1m,1n,457244,67.848,79.2632
1,0,1m,2.2n,462838,64.9106,79.2632
1,0,1m,4.7n,471545,58.5832,79.2631
1,0,430,1f,452186,70.1507,79.2632
1,0,430,47p,452433,70.0414,79.2632
1,0,430,100p,452709,69.9178,79.2632
1,0,430,220p,453332,69.6373,79.2632
1,0,430,470p,454611,69.0492,79.2632
1,0,430,1n,457241,67.7862,79.2632
1,0,430,2.2n,462835,64.8481,79.2632
1,0,430,4.7n,471542,58.5196,79.2631
1,6,1m,1f,452651,70.2087,79.3969
1,6,1m,47p,452706,70.1811,79.3969
1,6,1m,100p,452748,70.1504,79.3969
1,6,1m,220p,452768,70.084,79.3969
1,6,1m,470p,452512,69.9701,79.3969
1,6,1m,1n,451289,69.8615,79.3969
1,6,1m,2.2n,449120,69.9162,79.3969
1,6,1m,4.7n,447782,70.0589,79.3969
1,6,430,1f,452648,70.1475,79.3969
1,6,430,47p,452703,70.1199,79.3969
1,6,430,100p,452745,70.0892,79.3969
1,6,430,220p,452766,70.0228,79.3969
1,6,430,470p,452509,69.9089,79.3969
1,6,430,1n,451286,69.8005,79.3969
1,6,430,2.2n,449117,69.8555,79.3969
1,6,430,4.7n,447779,69.9984,79.3969
1,12,1m,1f,452772,70.2079,79.4324
1,12,1m,47p,452787,70.2009,79.4324
1,12,1m,100p,452799,70.193,79.4324
1,12,1m,220p,452812,70.1758,79.4324
1,12,1m,470p,452778,70.144,79.4324
1,12,1m,1n,452513,70.1024,79.4324
1,12,1m,2.2n,451840,70.0985,79.4324
1,12,1m,4.7n,451281,70.1428,79.4324
1,12,430,1f,452769,70.1467,79.4324
1,12,430,47p,452784,70.1397,79.4324
1,12,430,100p,452796,70.1318,79.4324
1,12,430,220p,452810,70.1146,79.4324
1,12,430,470p,452775,70.0828,79.4324
1,12,430,1n,452511,70.0413,79.4324
1,12,430,2.2n,451837,70.0374,79.4324
1,12,430,4.7n,451278,70.0818,79.4324
2,0,1m,1f,454160,70.1987,79.8476
2,0,1m,47p,454411,70.0884,79.8476
2,0,1m,100p,454692,69.9639,79.8476
2,0,1m,220p,455326,69.6809,79.8476
2,0,1m,470p,456627,69.0876,79.8476
2,0,1m,1n,459361,67.8108,79.8476
2,0,1m,2.2n,465059,64.8442,79.8475
2,0,1m,4.7n,474004,58.444,79.8475
2,0,430,1f,454158,70.1373,79.8476
2,0,430,47p,454408,70.027,79.8476
2,0,430,100p,454690,69.9024,79.8476
2,0,430,220p,455323,69.6194,79.8476
2,0,430,470p,456624,69.0259,79.8476
2,0,430,1n,459358,67.7488,79.8476
2,0,430,2.2n,465056,64.7814,79.8475
2,0,430,4.7n,474000,58.38,79.8475
2,6,1m,1f,454623,70.1958,79.9898
2,6,1m,47p,454674,70.1682,79.9898
2,6,1m,100p,454701,70.1379,79.9898
2,6,1m,220p,454652,70.0761,79.9898
2,6,1m,470p,454189,69.9924,79.9898
2,6,1m,1n,452962,69.9716,79.9898
2,6,1m,2.2n,451741,70.0573,79.9898
2,6,1m,4.7n,451220,70.1368,79.9898
2,6,430,1f,454620,70.1343,79.9898
2,6,430,47p,454671,70.1067,79.9898
2,6,430,100p,454699,70.0765,79.9898
2,6,430,220p,454649,70.0147,79.9898
2,6,430,470p,454186,69.931,79.9898
2,6,430,1n,452959,69.9104,79.9898
2,6,430,2.2n,451739,69.9962,79.9898
2,6,430,4.7n,451217,70.0758,79.9898
2,12,1m,1f,454746,70.195,80.028
2,12,1m,47p,454759,70.188,80.028
2,12,1m,100p,454769,70.1801,80.028
2,12,1m,220p,454768,70.1636,80.028
2,12,1m,470p,454680,70.1372,80.028
2,12,1m,1n,454354,70.1194,80.028
2,12,1m,2.2n,453904,70.1393,80.028
2,12,1m,4.7n,453671,70.1684,80.028
2,12,430,1f,454743,70.1335,80.028
2,12,430,47p,454756,70.1265,80.028
2,12,430,100p,454766,70.1187,80.028
2,12,430,220p,454765,70.1021,80.028
2,12,430,470p,454677,70.0758,80.028
2,12,430,1n,454351,70.058,80.028
2,12,430,2.2n,453901,70.078,80.028
2,12,430,4.7n,453669,70.1071,80.028
