trim,att,mode,g1k_db
0,0,0db,-140.011
0,0,3db,-136.966
0,0,10db,-130.044
0,25,0db,-12.0687
0,25,3db,-9.02296
0,25,10db,-2.10186
0,50,0db,-6.05348
0,50,3db,-3.00778
0,50,10db,3.91333
0,75,0db,-2.52624
0,75,3db,0.519466
0,75,10db,7.44057
0,100,0db,-0.011192
0,100,3db,3.03451
0,100,10db,9.95562
6,0,0db,-146.01
6,0,3db,-142.965
6,0,10db,-136.044
6,25,0db,-18.0681
6,25,3db,-15.0224
6,25,10db,-8.10126
6,50,0db,-12.0536
6,50,3db,-9.00787
6,50,10db,-2.08677
6,75,0db,-8.52748
6,75,3db,-5.48177
6,75,10db,1.43933
6,100,0db,-6.01405
6,100,3db,-2.96834
6,100,10db,3.95276
12,0,0db,-151.948
12,0,3db,-148.902
12,0,10db,-141.981
12,25,0db,-24.0053
12,25,3db,-20.9596
12,25,10db,-14.0385
12,50,0db,-17.9906
12,50,3db,-14.9449
12,50,10db,-8.02382
12,75,0db,-14.4643
12,75,3db,-11.4186
12,75,10db,-4.49748
12,100,0db,-11.9505
12,100,3db,-8.90479
12,100,10db,-1.98369
