out,trim,att,mode,zrmax,zr20,zr1k,zr20k,zm20,zm1k,zn1k,zn20k
main,0,100,3db,60.0655,60.0655,47.0465,47.0531,1693.38,57.9539,0.0548541,0.38882
fix1,0,100,3db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,0,100,3db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,0,100,10db,60.128,60.128,47.1092,47.1813,1693.38,57.9913,0.12162,0.858684
fix1,0,100,10db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,0,100,10db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,6,0,0db,60.0504,60.0504,47.0313,47.0262,1693.38,57.9449,0.0386443,0.274388
fix1,6,0,0db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,6,0,0db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,6,0,3db,60.0656,60.0656,47.0465,47.0532,1693.38,57.9539,0.0548705,0.388842
fix1,6,0,3db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,6,0,3db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,6,0,10db,60.1281,60.1281,47.1092,47.1814,1693.38,57.9914,0.121692,0.858743
fix1,6,0,10db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,6,0,10db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,6,25,0db,60.0504,60.0504,47.0313,47.0262,1693.38,57.9449,0.0386432,0.274387
fix1,6,25,0db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,6,25,0db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,6,25,3db,60.0656,60.0656,47.0465,47.0531,1693.38,57.9539,0.0548685,0.388842
fix1,6,25,3db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,6,25,3db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,6,25,10db,60.1281,60.1281,47.1092,47.1812,1693.38,57.9914,0.121683,0.858746
fix1,6,25,10db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,6,25,10db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,6,50,0db,60.0504,60.0504,47.0313,47.0262,1693.38,57.9449,0.0386421,0.274386
fix1,6,50,0db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
