finestra,vmax,vmin
regime_0db,0.483065,-0.516218
regime_3db,0.68595,-0.733029
regime_10db,1.52176,-1.62625
regime_10db_bis,1.52178,-1.62627
trans_0_3,0.68595,-0.733032
trans_3_10,1.52176,-1.62626
trans_10_3,1.52176,-0.733028
trans_3_0,0.685952,-0.516211
trans_0_10_k5_prima,1.52178,-1.62627
trans_10_0_k1_prima,1.52178,-1.36569
