mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
0db,2.611k,1,2.2n,361675,65.4958,81.9015,100k
0db,2.611k,1,2.7n,360074,64.7905,81.9015,100k
0db,2.611k,1,3.3n,357575,64.0645,81.9015,100k
0db,2.611k,1,4.7n,350366,62.8591,81.9014,100k
0db,2.611k,2,1f,361327,69.3709,81.9016,100k
0db,2.611k,2,47p,361474,69.2825,81.9016,100k
0db,2.611k,2,100p,361640,69.1827,81.9016,100k
0db,2.611k,2,220p,362014,68.9561,81.9016,100k
0db,2.611k,2,470p,362782,68.4817,81.9016,100k
0db,2.611k,2,1n,364402,67.4642,81.9015,100k
0db,2.611k,2,1.5n,365876,66.4918,81.9015,100k
0db,2.611k,2,2.2n,367828,65.1122,81.9015,100k
0db,2.611k,2,2.7n,369135,64.1151,81.9014,100k
0db,2.611k,2,3.3n,370598,62.9078,81.9014,100k
0db,2.611k,2,4.7n,373572,60.053,81.9013,100k
0db,1m,1,1f,360913,69.6668,81.6963,10k
0db,1m,1,47p,361056,69.5796,81.6963,10k
0db,1m,1,100p,361211,69.4812,81.6963,10k
0db,1m,1,220p,361534,69.2581,81.6963,10k
0db,1m,1,470p,362084,68.7936,81.6963,10k
0db,1m,1,1n,362688,67.8234,81.6964,10k
0db,1m,1,1.5n,362551,66.9487,81.6964,10k
0db,1m,1,2.2n,361280,65.8316,81.6964,10k
0db,1m,1,2.7n,359708,65.1306,81.6964,10k
0db,1m,1,3.3n,357250,64.407,81.6965,10k
0db,1m,1,4.7n,350145,63.1985,81.6965,10k
0db,1m,2,1f,360913,69.6668,81.6963,10k
0db,1m,2,47p,361060,69.5788,81.6963,10k
0db,1m,2,100p,361225,69.4793,81.6963,10k
0db,1m,2,220p,361597,69.2536,81.6963,10k
0db,1m,2,470p,362362,68.781,81.6963,10k
0db,1m,2,1n,363962,67.7678,81.6963,10k
0db,1m,2,1.5n,365429,66.7991,81.6962,10k
0db,1m,2,2.2n,367372,65.4248,81.6962,10k
0db,1m,2,2.7n,368672,64.4315,81.6962,10k
0db,1m,2,3.3n,370128,63.2287,81.6962,10k
0db,1m,2,4.7n,373072,60.3855,81.6961,10k
0db,1k,1,1f,360909,69.5535,81.6963,10k
0db,1k,1,47p,361052,69.4662,81.6963,10k
0db,1k,1,100p,361206,69.3677,81.6963,10k
0db,1k,1,220p,361529,69.1445,81.6963,10k
