cella,file,variante,f_hz,amp,gm,rl,t_ins,t_rel,t_fine,tmax,tipo,rif_ins,rif_rel,t_grad
mai,mai.dat,rif,1000,3.818,10,100k,1.0,8.5,17.5,1e-05,rif_mai,-,-,0.0
sempre,sempre.dat,rif,1000,3.818,10,100k,1.0,8.5,17.5,1e-05,rif_sempre,-,-,0.0
ev,ev.dat,ldr_v4_td6,1000,3.818,10,100k,1.0,8.5,17.5,1e-05,evento,sempre,mai,6.5
norele,norele.dat,rif,1000,3.818,10,100k,1.0,8.5,17.5,1e-05,rif_seq,-,-,0.0
rele,ev.dat,rele_contro_norele,1000,3.818,10,100k,7.5,8.5,17.5,1e-05,evento,norele,norele,0.0
inv,inv.dat,inversione_d75,1000,3.818,10,100k,1.0,5.5,13.0,1e-05,evento,sempre,mai,4.5
pav0,mai7u.dat,pavimento,1000,3.818,10,100k,1.0,1000,17.5,7e-06,pav_num,mai,-,0.0
pav1,mai7u.dat,pavimento,1000,3.818,10,100k,7.5,1000,17.5,7e-06,pav_num,mai,-,0.0
pav2,mai7u.dat,pavimento,1000,3.818,10,100k,8.5,1000,17.5,7e-06,pav_num,mai,-,0.0
pav3,mai7u.dat,pavimento,1000,3.818,10,100k,5.5,1000,17.5,7e-06,pav_num,mai,-,0.0
lzmai,lzmai.dat,rif,1000,0,10,100k,1.0,8.5,17.5,1e-05,rif_mai,-,-,0.0
lzsempre,lzsempre.dat,rif,1000,0,10,100k,1.0,8.5,17.5,1e-05,rif_sempre,-,-,0.0
lzev,lzev.dat,ldr_v4_td6,1000,0,10,100k,1.0,8.5,17.5,1e-05,evento,lzsempre,lzmai,6.5
lzrele,lzev.dat,rele_contro_norele,1000,0,10,100k,7.5,8.5,17.5,1e-05,evento,lzsempre,lzmai,0.0
pav_ev0,ev7u.dat,pavimento,1000,3.818,10,100k,1.0,1000,17.5,7e-06,pav_num,ev,-,0.0
pav_ev1,ev7u.dat,pavimento,1000,3.818,10,100k,7.5,1000,17.5,7e-06,pav_num,ev,-,0.0
pav_ev2,ev7u.dat,pavimento,1000,3.818,10,100k,8.5,1000,17.5,7e-06,pav_num,ev,-,0.0
pav_norele0,norele7u.dat,pavimento,1000,3.818,10,100k,1.0,1000,17.5,7e-06,pav_num,norele,-,0.0
pav_norele1,norele7u.dat,pavimento,1000,3.818,10,100k,7.5,1000,17.5,7e-06,pav_num,norele,-,0.0
pav_norele2,norele7u.dat,pavimento,1000,3.818,10,100k,8.5,1000,17.5,7e-06,pav_num,norele,-,0.0
