variante,L_mH,gap_ms,R,fraz,vrelay,irel_mA,i0_mA,imin_rilascio_mA,ifuori_mA,imin_inserimento_mA,ifine_mA,tiene_al_rilascio,tiene_all_inserimento,tcaduta_dopo_NO_K6_us,rc,corsa
ingenua,20.0,0.1,213.0,0.3,5.0,7.042253521126761,22.2137,1.7867799999999999e-06,4.92946e-06,2.56323e-06,22.2137,False,False,nan,0,ok
ingenua,20.0,0.1,213.0,0.5,4.75,11.737089201877934,21.0517,-3.84593e-08,4.6806099999999996e-06,2.43501e-06,21.0517,False,False,nan,0,ok
ingenua,20.0,0.1,213.0,0.5,5.0,11.737089201877934,22.2137,1.7867799999999999e-06,4.92946e-06,2.56323e-06,22.2137,False,False,nan,0,ok
ingenua,20.0,0.1,213.0,0.7,4.75,16.431924882629108,21.0517,-3.84476e-08,4.6806099999999996e-06,2.43501e-06,21.0517,False,False,nan,0,ok
ingenua,20.0,0.1,213.0,0.7,5.0,16.431924882629108,22.2137,1.7868e-06,4.92946e-06,2.56323e-06,22.2137,False,False,nan,0,ok
ingenua,20.0,0.1,237.0,0.1,4.75,2.109704641350211,18.9402,3.70776,16.796499999999998,3.07562,18.9402,True,True,nan,0,ok
ingenua,20.0,0.1,237.0,0.1,5.0,2.109704641350211,19.9848,4.0168,17.8332,3.38094,19.9848,True,True,nan,0,ok
ingenua,20.0,0.1,237.0,0.3,4.75,6.329113924050633,18.9402,-1.80838e-07,4.6806e-06,2.43501e-06,18.9402,False,False,nan,0,ok
ingenua,20.0,0.1,237.0,0.3,5.0,6.329113924050633,19.9848,1.46828e-07,4.92945e-06,2.56322e-06,19.9848,False,False,nan,0,ok
ingenua,20.0,0.1,237.0,0.5,4.75,10.548523206751055,18.9402,-1.80844e-07,4.6806e-06,2.43501e-06,18.9402,False,False,nan,0,ok
ingenua,20.0,0.1,237.0,0.5,5.0,10.548523206751055,19.9848,1.46831e-07,4.92945e-06,2.56322e-06,19.9848,False,False,nan,0,ok
ingenua,20.0,0.1,237.0,0.7,4.75,14.767932489451477,18.9402,-1.8083600000000002e-07,4.6806e-06,2.43501e-06,18.9402,False,False,nan,0,ok
ingenua,20.0,0.1,237.0,0.7,5.0,14.767932489451477,19.9848,1.46823e-07,4.92945e-06,2.56322e-06,19.9848,False,False,nan,0,ok
ingenua,20.0,0.1,261.0,0.1,4.75,1.9157088122605364,17.2149,2.71522,15.2774,2.21238,17.2149,True,True,nan,0,ok
ingenua,20.0,0.1,261.0,0.1,5.0,1.9157088122605364,18.1636,2.9625,16.2193,2.4564500000000002,18.1636,True,True,nan,0,ok
ingenua,20.0,0.1,261.0,0.3,4.75,5.747126436781609,17.2149,1.70265e-06,4.68059e-06,2.43501e-06,17.2149,False,False,nan,0,ok
ingenua,20.0,0.1,261.0,0.3,5.0,5.747126436781609,18.1636,9.221299999999999e-08,4.92945e-06,2.56322e-06,18.1636,False,False,nan,0,ok
ingenua,20.0,0.1,261.0,0.5,4.75,9.578544061302681,17.2149,1.7027900000000002e-06,4.68059e-06,2.43501e-06,17.2149,False,False,nan,0,ok
ingenua,20.0,0.1,261.0,0.5,5.0,9.578544061302681,18.1636,9.22156e-08,4.92945e-06,2.56322e-06,18.1636,False,False,nan,0,ok
ingenua,20.0,0.1,261.0,0.7,4.75,13.409961685823756,17.2149,1.70281e-06,4.68059e-06,2.43501e-06,17.2149,False,False,nan,0,ok
ingenua,20.0,0.1,261.0,0.7,5.0,13.409961685823756,18.1636,9.22112e-08,4.92945e-06,2.56322e-06,18.1636,False,False,nan,0,ok
ingenua,20.0,0.3,213.0,0.1,4.75,2.347417840375587,21.0517,-2.23881e-06,4.6806099999999996e-06,2.43501e-06,21.0517,False,False,nan,0,ok
ingenua,20.0,0.3,213.0,0.1,5.0,2.347417840375587,22.2137,-5.32438e-07,4.92946e-06,2.56323e-06,22.2137,False,False,nan,0,ok
ingenua,20.0,0.3,213.0,0.3,4.75,7.042253521126761,21.0517,-2.2388199999999998e-06,4.6806099999999996e-06,2.43501e-06,21.0517,False,False,nan,0,ok
ingenua,20.0,0.3,213.0,0.3,5.0,7.042253521126761,22.2137,-1.70467e-06,4.92946e-06,2.56323e-06,22.2137,False,False,nan,0,ok
ingenua,20.0,0.3,213.0,0.5,4.75,11.737089201877934,21.0517,-2.3684199999999998e-06,4.6806099999999996e-06,2.43501e-06,21.0517,False,False,nan,0,ok
ingenua,20.0,0.3,213.0,0.5,5.0,11.737089201877934,22.2137,-2.11569e-06,4.92946e-06,2.56323e-06,22.2137,False,False,nan,0,ok
ingenua,20.0,0.3,213.0,0.7,4.75,16.431924882629108,21.0517,-2.19418e-06,4.6806099999999996e-06,2.43501e-06,21.0517,False,False,nan,0,ok
ingenua,20.0,0.3,213.0,0.7,5.0,16.431924882629108,22.2137,-1.6674299999999999e-06,4.92946e-06,2.56323e-06,22.2137,False,False,nan,0,ok
ingenua,20.0,0.3,237.0,0.1,4.75,2.109704641350211,18.9402,-2.33668e-06,4.6806e-06,2.43501e-06,18.9402,False,False,nan,0,ok
ingenua,20.0,0.3,237.0,0.1,5.0,2.109704641350211,19.9848,-2.21527e-06,4.92945e-06,2.56322e-06,19.9848,False,False,nan,0,ok
ingenua,20.0,0.3,237.0,0.3,4.75,6.329113924050633,18.9402,9.00349e-07,4.6806e-06,2.43501e-06,18.9402,False,False,nan,0,ok
ingenua,20.0,0.3,237.0,0.3,5.0,6.329113924050633,19.9848,1.2580800000000002e-06,4.92945e-06,2.56322e-06,19.9848,False,False,nan,0,ok
ingenua,20.0,0.3,237.0,0.5,4.75,10.548523206751055,18.9402,-1.4443e-06,4.6806e-06,2.43501e-06,18.9402,False,False,nan,0,ok
ingenua,20.0,0.3,237.0,0.5,5.0,10.548523206751055,19.9848,-1.36623e-06,4.92945e-06,2.56322e-06,19.9848,False,False,nan,0,ok
ingenua,20.0,0.3,237.0,0.7,4.75,14.767932489451477,18.9402,-2.28097e-06,4.6806e-06,2.43501e-06,18.9402,False,False,nan,0,ok
ingenua,20.0,0.3,237.0,0.7,5.0,14.767932489451477,19.9848,-2.1644400000000002e-06,4.92945e-06,2.56322e-06,19.9848,False,False,nan,0,ok
ingenua,20.0,0.3,261.0,0.1,4.75,1.9157088122605364,17.2149,4.42947e-07,4.68059e-06,2.43501e-06,17.2149,False,False,nan,0,ok
ingenua,20.0,0.3,261.0,0.1,5.0,1.9157088122605364,18.1636,-2.22627e-06,4.92945e-06,2.56322e-06,18.1636,False,False,nan,0,ok
ingenua,20.0,0.3,261.0,0.3,4.75,5.747126436781609,17.2149,-1.45612e-07,4.68059e-06,2.43501e-06,17.2149,False,False,nan,0,ok
ingenua,20.0,0.3,261.0,0.3,5.0,5.747126436781609,18.1636,-3.85663e-07,4.92945e-06,2.56322e-06,18.1636,False,False,nan,0,ok
ingenua,20.0,0.3,261.0,0.5,4.75,9.578544061302681,17.2149,-1.45557e-06,4.68059e-06,2.43501e-06,17.2149,False,False,nan,0,ok
ingenua,20.0,0.3,261.0,0.5,5.0,9.578544061302681,18.1636,-1.46941e-06,4.92945e-06,2.56322e-06,18.1636,False,False,nan,0,ok
ingenua,20.0,0.3,261.0,0.7,4.75,13.409961685823756,17.2149,-2.35729e-06,4.68059e-06,2.43501e-06,17.2149,False,False,nan,0,ok
ingenua,20.0,0.3,261.0,0.7,5.0,13.409961685823756,18.1636,-1.82174e-06,4.92945e-06,2.56322e-06,18.1636,False,False,nan,0,ok
ingenua,20.0,1.0,213.0,0.1,4.75,2.347417840375587,21.0517,-2.23881e-06,4.6806099999999996e-06,2.43501e-06,21.0517,False,False,nan,0,ok
ingenua,20.0,1.0,213.0,0.1,5.0,2.347417840375587,22.2137,-5.32438e-07,4.92946e-06,2.56323e-06,22.2137,False,False,nan,0,ok
ingenua,20.0,1.0,213.0,0.3,4.75,7.042253521126761,21.0517,-2.2388199999999998e-06,4.6806099999999996e-06,2.43501e-06,21.0517,False,False,nan,0,ok
ingenua,20.0,1.0,213.0,0.3,5.0,7.042253521126761,22.2137,-1.70467e-06,4.92946e-06,2.56323e-06,22.2137,False,False,nan,0,ok
ingenua,20.0,1.0,213.0,0.5,4.75,11.737089201877934,21.0517,-2.3684199999999998e-06,4.6806099999999996e-06,2.43501e-06,21.0517,False,False,nan,0,ok
ingenua,20.0,1.0,213.0,0.5,5.0,11.737089201877934,22.2137,-2.11569e-06,4.92946e-06,2.56323e-06,22.2137,False,False,nan,0,ok
