cella,grandezza,uscita,prima,dopo,diff,rel
g0sempre_lz,B1,FIXJACK1,2.51e-14,2.497e-14,-1.3e-16,-0.005179
g0sempre_lz,B1,FIXJACK2,2.365e-14,2.954e-14,5.89e-15,0.249
g0sempre_lz,B1,MAINJACK,2.589e-14,2.663e-14,7.4e-16,0.02858
g10sempre_lz,B1,FIXJACK1,2.435e-14,2.442e-14,7e-17,0.002875
g10sempre_lz,B1,FIXJACK2,2.518e-14,2.926e-14,4.08e-15,0.162
g10sempre_lz,B1,MAINJACK,8.45e-14,8.355e-14,-9.5e-16,-0.01124
gm0x10_lz_c,A_ins,FIXJACK1,2.188e-10,1.363e-10,-8.25e-11,-0.3771
gm0x10_lz_c,A_ins,FIXJACK2,2.187e-10,1.363e-10,-8.24e-11,-0.3768
gm0x10_lz_c,A_ins,MAINJACK,0.0001115,0.0001114,-1e-07,-0.0008969
gm0x10_lz_c,A_rel,FIXJACK1,1.012e-08,1.012e-08,0,0
gm0x10_lz_c,A_rel,FIXJACK2,1.012e-08,1.012e-08,0,0
gm0x10_lz_c,A_rel,MAINJACK,3.192e-08,3.193e-08,1e-11,0.0003133
gm0x10_lz_c,B2,FIXJACK1,9.05e-14,5.553e-14,-3.497e-14,-0.3864
gm0x10_lz_c,B2,FIXJACK2,9.168e-14,5.827e-14,-3.341e-14,-0.3644
gm0x10_lz_c,B2,MAINJACK,3.741e-07,3.675e-07,-6.6e-09,-0.01764
gm0x10_lz_i,A_ins,FIXJACK1,4.143e-09,4.145e-09,2e-12,0.0004827
gm0x10_lz_i,A_ins,FIXJACK2,4.144e-09,4.145e-09,1e-12,0.0002413
gm0x10_lz_i,A_ins,MAINJACK,4.141e-09,4.142e-09,1e-12,0.0002415
gm0x10_lz_i,A_rel,FIXJACK1,2.202e-10,1.339e-10,-8.63e-11,-0.3919
gm0x10_lz_i,A_rel,FIXJACK2,2.196e-10,1.377e-10,-8.19e-11,-0.373
gm0x10_lz_i,A_rel,MAINJACK,0.0001115,0.0001114,-1e-07,-0.0008969
gm0x10_lz_i,B2,FIXJACK1,7.578e-09,7.578e-09,0,0
gm0x10_lz_i,B2,FIXJACK2,7.578e-09,7.578e-09,0,0
gm0x10_lz_i,B2,MAINJACK,3.118e-09,3.118e-09,0,0
mev_lz,A_ins,FIXJACK1,4.144e-09,4.146e-09,2e-12,0.0004826
mev_lz,A_ins,FIXJACK2,4.144e-09,4.144e-09,0,0
mev_lz,A_ins,MAINJACK,1.305e-08,1.306e-08,1e-11,0.0007663
mev_lz,A_rel,FIXJACK1,1.011e-08,1.011e-08,0,0
mev_lz,A_rel,FIXJACK2,1.011e-08,1.011e-08,0,0
mev_lz,A_rel,MAINJACK,3.189e-08,3.188e-08,-1e-11,-0.0003136
mev_lz,B2,FIXJACK1,7.577e-09,7.577e-09,0,0
mev_lz,B2,FIXJACK2,7.577e-09,7.577e-09,0,0
mev_lz,B2,MAINJACK,9.827e-09,9.827e-09,0,0
on_r10m,A_ins,FIXJACK1,0.00645,0.00645,0,0
on_r10m,A_ins,FIXJACK2,0.00645,0.00645,0,0
on_r10m,A_ins,MAINJACK,0.0004461,0.0004461,0,0
on_r10m,A_rel,FIXJACK1,1.012e-08,1.012e-08,0,0
on_r10m,A_rel,FIXJACK2,1.012e-08,1.012e-08,0,0
on_r10m,A_rel,MAINJACK,3.193e-08,3.193e-08,0,0
on_r10m,B2,FIXJACK1,0.00645,0.00645,0,0
on_r10m,B2,FIXJACK2,0.00645,0.00645,0,0
on_r10m,B2,MAINJACK,0.0003666,0.0003666,0,0
on_r300p,A_ins,FIXJACK1,0.01128,0.01128,0,0
on_r300p,A_ins,FIXJACK2,0.01128,0.01128,0,0
on_r300p,A_ins,MAINJACK,0.0001444,0.0001444,0,0
on_r300p,A_rel,FIXJACK1,1.012e-08,1.013e-08,1e-11,0.0009881
on_r300p,A_rel,FIXJACK2,1.012e-08,1.013e-08,1e-11,0.0009881
on_r300p,A_rel,MAINJACK,3.193e-08,3.193e-08,0,0
on_r300p,B2,FIXJACK1,0.01128,0.01128,0,0
on_r300p,B2,FIXJACK2,0.01128,0.01128,0,0
on_r300p,B2,MAINJACK,0.0001444,0.0001444,0,0
