cella,file,variante,f_hz,amp,gm,rl,t_ins,t_rel,t_fine,tmax,tipo,rif_ins,rif_rel,t_grad,gruppo,conta
g0mai_lz_N,g0mai_lz_N.dat,rif,1000,0,0,100k,1.0,8.5,19.0,1e-05,rif_mai,-,-,0.0,0,
g0mai_lz_S,g0mai_lz_S.dat,rif,1000,0,0,100k,1.0,8.5,19.0,1e-05,rif_mai,-,-,0.0,0,
g0sempre_lz_N,g0sempre_lz_N.dat,rif,1000,0,0,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,0,
g0sempre_lz_i,g0sempre_lz_i.dat,rif,1000,0,0,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,0,
g0sempre_lz_ii,g0sempre_lz_ii.dat,rif,1000,0,0,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,0,
g0sempre_lz_iii,g0sempre_lz_iii.dat,rif,1000,0,0,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,0,
g10mai_lz_N,g10mai_lz_N.dat,rif,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_mai,-,-,0.0,0,
g10mai_lz_S,g10mai_lz_S.dat,rif,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_mai,-,-,0.0,0,
g10sempre_lz_N,g10sempre_lz_N.dat,rif,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,0,
g10sempre_lz_i,g10sempre_lz_i.dat,rif,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,0,
g10sempre_lz_ii,g10sempre_lz_ii.dat,rif,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,0,
g10sempre_lz_iii,g10sempre_lz_iii.dat,rif,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,0,
gm0x10_lz_N_i,gm0x10_lz_N.dat,l29d_N,1000,0,0a10,100k,1.0,8.0,19.0,1e-05,evento,g0sempre_lz_N,g0mai_lz_N,6.5,1,A_ins;B2
gm0x10_lz_N_c,gm0x10_lz_N.dat,l29d_N,1000,0,0a10,100k,8.0,10.0,19.0,1e-05,evento,g10sempre_lz_N,g10mai_lz_N,0.0,1,A_ins;A_rel;B2
mev_lz_N,mev_lz_N.dat,l29d_N_ev,1000,0,10,100k,1.0,8.5,17.5,1e-05,evento,g10sempre_lz_N,g10mai_lz_N,6.5,4,A_ins;A_rel;B2
on_r300p_N,on_r300p_N.dat,accensione_N,1000,0,10,100k,0.1,2.6,11.6,1e-05,evento,g10sempre_lz_N,g10mai_lz_N,0.0,5,A_ins;A_rel
on_r10m_N,on_r10m_N.dat,accensione_N,1000,0,10,100k,0.1,2.6,11.6,1e-05,evento,g10sempre_lz_N,g10mai_lz_N,0.0,5,A_ins;A_rel
gm0x10_lz_iA_i,gm0x10_lz_iA.dat,l29d_iA,1000,0,0a10,100k,1.0,8.0,19.0,1e-05,evento,g0sempre_lz_i,g0mai_lz_S,6.5,1,A_ins;B2
gm0x10_lz_iA_c,gm0x10_lz_iA.dat,l29d_iA,1000,0,0a10,100k,8.0,10.0,19.0,1e-05,evento,g10sempre_lz_i,g10mai_lz_S,0.0,1,A_ins;A_rel;B2
mev_lz_iA,mev_lz_iA.dat,l29d_iA_ev,1000,0,10,100k,1.0,8.5,17.5,1e-05,evento,g10sempre_lz_i,g10mai_lz_S,6.5,4,A_ins;A_rel;B2
on_r300p_iA,on_r300p_iA.dat,accensione_iA,1000,0,10,100k,0.1,2.6,11.6,1e-05,evento,g10sempre_lz_i,g10mai_lz_S,0.0,5,A_ins;A_rel
on_r10m_iA,on_r10m_iA.dat,accensione_iA,1000,0,10,100k,0.1,2.6,11.6,1e-05,evento,g10sempre_lz_i,g10mai_lz_S,0.0,5,A_ins;A_rel
gm0x10_lz_iB_i,gm0x10_lz_iB.dat,l29d_iB,1000,0,0a10,100k,1.0,8.0,19.0,1e-05,evento,g0sempre_lz_i,g0mai_lz_S,6.5,1,A_ins;B2
gm0x10_lz_iB_c,gm0x10_lz_iB.dat,l29d_iB,1000,0,0a10,100k,8.0,10.0,19.0,1e-05,evento,g10sempre_lz_i,g10mai_lz_S,0.0,1,A_ins;A_rel;B2
mev_lz_iB,mev_lz_iB.dat,l29d_iB_ev,1000,0,10,100k,1.0,8.5,17.5,1e-05,evento,g10sempre_lz_i,g10mai_lz_S,6.5,4,A_ins;A_rel;B2
on_r300p_iB,on_r300p_iB.dat,accensione_iB,1000,0,10,100k,0.1,2.6,11.6,1e-05,evento,g10sempre_lz_i,g10mai_lz_S,0.0,5,A_ins;A_rel
on_r10m_iB,on_r10m_iB.dat,accensione_iB,1000,0,10,100k,0.1,2.6,11.6,1e-05,evento,g10sempre_lz_i,g10mai_lz_S,0.0,5,A_ins;A_rel
gm0x10_lz_ii_i,gm0x10_lz_ii.dat,l29d_ii,1000,0,0a10,100k,1.0,8.0,19.0,1e-05,evento,g0sempre_lz_ii,g0mai_lz_S,6.5,1,A_ins;B2
gm0x10_lz_ii_c,gm0x10_lz_ii.dat,l29d_ii,1000,0,0a10,100k,8.0,10.0,19.0,1e-05,evento,g10sempre_lz_ii,g10mai_lz_S,0.0,1,A_ins;A_rel;B2
mev_lz_ii,mev_lz_ii.dat,l29d_ii_ev,1000,0,10,100k,1.0,8.5,17.5,1e-05,evento,g10sempre_lz_ii,g10mai_lz_S,6.5,4,A_ins;A_rel;B2
on_r300p_ii,on_r300p_ii.dat,accensione_ii,1000,0,10,100k,0.1,2.6,11.6,1e-05,evento,g10sempre_lz_ii,g10mai_lz_S,0.0,5,A_ins;A_rel
on_r10m_ii,on_r10m_ii.dat,accensione_ii,1000,0,10,100k,0.1,2.6,11.6,1e-05,evento,g10sempre_lz_ii,g10mai_lz_S,0.0,5,A_ins;A_rel
gm0x10_lz_iii_i,gm0x10_lz_iii.dat,l29d_iii,1000,0,0a10,100k,1.0,8.0,19.0,1e-05,evento,g0sempre_lz_iii,g0mai_lz_S,6.5,1,A_ins;B2
gm0x10_lz_iii_c,gm0x10_lz_iii.dat,l29d_iii,1000,0,0a10,100k,8.0,10.0,19.0,1e-05,evento,g10sempre_lz_iii,g10mai_lz_S,0.0,1,A_ins;A_rel;B2
mev_lz_iii,mev_lz_iii.dat,l29d_iii_ev,1000,0,10,100k,1.0,8.5,17.5,1e-05,evento,g10sempre_lz_iii,g10mai_lz_S,6.5,4,A_ins;A_rel;B2
on_r300p_iii,on_r300p_iii.dat,accensione_iii,1000,0,10,100k,0.1,2.6,11.6,1e-05,evento,g10sempre_lz_iii,g10mai_lz_S,0.0,5,A_ins;A_rel
on_r10m_iii,on_r10m_iii.dat,accensione_iii,1000,0,10,100k,0.1,2.6,11.6,1e-05,evento,g10sempre_lz_iii,g10mai_lz_S,0.0,5,A_ins;A_rel
