cella,gruppo,variante,gm,f_hz,amp,rl,grandezza,uscita,picco,t_picco,soglia,esito,esiti
gm0x10_lz_N_i,1,l29d_N,0a10,1000,0,100k,A_ins,FIXJACK1,4.145e-09,2.362292,0.0001,regge,sotto
gm0x10_lz_N_i,1,l29d_N,0a10,1000,0,100k,B2,FIXJACK1,7.578e-09,7.520000,0.0001,regge,sotto
gm0x10_lz_N_c,1,l29d_N,0a10,1000,0,100k,A_ins,MAINJACK,0.0001114,8.000031,0.0001,NON REGGE,SOPRA|sotto
gm0x10_lz_N_c,1,l29d_N,0a10,1000,0,100k,A_rel,MAINJACK,3.193e-08,11.323250,0.0001,regge,sotto
gm0x10_lz_N_c,1,l29d_N,0a10,1000,0,100k,B2,MAINJACK,3.675e-07,8.027052,0.0001,regge,sotto
mev_lz_N,4,l29d_N_ev,10,1000,0,100k,A_ins,MAINJACK,1.306e-08,2.362531,0.0001,regge,sotto
mev_lz_N,4,l29d_N_ev,10,1000,0,100k,A_rel,MAINJACK,3.188e-08,9.823156,0.0001,regge,sotto
mev_lz_N,4,l29d_N_ev,10,1000,0,100k,B2,MAINJACK,9.827e-09,7.520000,0.0001,regge,sotto
on_r300p_N,5,accensione_N,10,1000,0,100k,A_ins,FIXJACK1,0.01128,0.292375,0.0001,NON REGGE,SOPRA
on_r300p_N,5,accensione_N,10,1000,0,100k,A_rel,MAINJACK,3.193e-08,3.923229,0.0001,regge,sotto
on_r10m_N,5,accensione_N,10,1000,0,100k,A_ins,FIXJACK1,0.00645,0.186104,0.0001,NON REGGE,SOPRA
on_r10m_N,5,accensione_N,10,1000,0,100k,A_rel,MAINJACK,3.193e-08,3.923219,0.0001,regge,sotto
gm0x10_lz_iA_i,1,l29d_iA,0a10,1000,0,100k,A_ins,FIXJACK2,4.143e-09,2.362354,0.0001,regge,sotto
gm0x10_lz_iA_i,1,l29d_iA,0a10,1000,0,100k,B2,FIXJACK1,3.474e-09,7.520000,0.0001,regge,sotto
gm0x10_lz_iA_c,1,l29d_iA,0a10,1000,0,100k,A_ins,MAINJACK,7.555e-09,8.000531,0.0001,regge,sotto
gm0x10_lz_iA_c,1,l29d_iA,0a10,1000,0,100k,A_rel,MAINJACK,0.01025,10.001042,0.0001,NON REGGE,SOPRA|sotto
gm0x10_lz_iA_c,1,l29d_iA,0a10,1000,0,100k,B2,MAINJACK,4.735e-12,8.026854,0.0001,regge,sotto
mev_lz_iA,4,l29d_iA_ev,10,1000,0,100k,A_ins,MAINJACK,1.303e-08,2.362260,0.0001,regge,sotto
mev_lz_iA,4,l29d_iA_ev,10,1000,0,100k,A_rel,MAINJACK,3.189e-08,9.823302,0.0001,regge,sotto
mev_lz_iA,4,l29d_iA_ev,10,1000,0,100k,B2,FIXJACK1,3.474e-09,7.520000,0.0001,regge,sotto
on_r300p_iA,5,accensione_iA,10,1000,0,100k,A_ins,FIXJACK1,2.175e-07,0.292292,0.0001,regge,sotto
on_r300p_iA,5,accensione_iA,10,1000,0,100k,A_rel,FIXJACK1,0.06351,2.601042,0.0001,NON REGGE,SOPRA
on_r10m_iA,5,accensione_iA,10,1000,0,100k,A_ins,FIXJACK1,1.32e-07,0.186948,0.0001,regge,sotto
on_r10m_iA,5,accensione_iA,10,1000,0,100k,A_rel,FIXJACK1,0.1897,2.601042,0.0001,NON REGGE,SOPRA
