cella,file,variante,f_hz,amp,gm,rl,t_ins,t_rel,t_fine,tmax,tipo,rif_ins,rif_rel,t_grad,gruppo,conta
g10mai_1k_iii,g10mai_1k_iii.dat,rif,1000,3.818,10,100k,1.0,8.5,36.5,1e-05,rif_mai,-,-,0.0,0,
g10sempre_1k_iii,g10sempre_1k_iii.dat,rif,1000,3.818,10,100k,1.0,8.5,36.5,1e-05,rif_sempre,-,-,0.0,0,
g10mai_20_iii,g10mai_20_iii.dat,rif,20,3.818,10,100k,1.0,8.5,36.5,1e-05,rif_mai,-,-,0.0,0,
g10sempre_20_iii,g10sempre_20_iii.dat,rif,20,3.818,10,100k,1.0,8.5,36.5,1e-05,rif_sempre,-,-,0.0,0,
g10mai_lz_iii,g10mai_lz_iii.dat,rif,1000,0,10,100k,1.0,8.5,36.5,1e-05,rif_mai,-,-,0.0,0,
g10sempre_lz_iii,g10sempre_lz_iii.dat,rif,1000,0,10,100k,1.0,8.5,36.5,1e-05,rif_sempre,-,-,0.0,0,
g0mai_lz_iii,g0mai_lz_iii.dat,rif,1000,0,0,100k,1.0,8.5,19.0,1e-05,rif_mai,-,-,0.0,0,
g0sempre_lz_iii,g0sempre_lz_iii.dat,rif,1000,0,0,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,0,
gm0x10_lz_iii_i,gm0x10_lz_iii.dat,l29d2_iii,1000,0,0a10,100k,1.0,8.0,19.0,1e-05,evento,g0sempre_lz_iii,g0mai_lz_iii,6.5,1,A_ins;B2
gm0x10_lz_iii_c,gm0x10_lz_iii.dat,l29d2_iii,1000,0,0a10,100k,8.0,10.0,19.0,1e-05,evento,g10sempre_lz_iii,g10mai_lz_iii,0.0,1,A_ins;A_rel;B2
rmai_g10t0_dpmaxmax_iii,rmai_g10t0_dpmaxmax_iii.dat,rif_dpmaxmax,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_mai,-,-,0.0,3,
rsempre_g10t0_dpmaxmax_iii,rsempre_g10t0_dpmaxmax_iii.dat,rif_dpmaxmax,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,3,
rmai_g0t0_dpmaxmax_iii,rmai_g0t0_dpmaxmax_iii.dat,rif_dpmaxmax,1000,0,0,100k,1.0,8.5,19.0,1e-05,rif_mai,-,-,0.0,3,
rsempre_g0t0_dpmaxmax_iii,rsempre_g0t0_dpmaxmax_iii.dat,rif_dpmaxmax,1000,0,0,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,3,
x01000_dpmaxmax_iii_i,x01000_dpmaxmax_iii.dat,l29d2_iii_dpmaxmax,1000,0,g0a10_t0a0,100k,1.0,8.0,19.0,1e-05,evento,rsempre_g0t0_dpmaxmax_iii,rmai_g0t0_dpmaxmax_iii,6.5,3,A_ins;B2
x01000_dpmaxmax_iii_c,x01000_dpmaxmax_iii.dat,l29d2_iii_dpmaxmax,1000,0,g0a10_t0a0,100k,8.0,10.0,19.0,1e-05,evento,rsempre_g10t0_dpmaxmax_iii,rmai_g10t0_dpmaxmax_iii,0.0,3,A_ins;A_rel;B2
mh01_1k_iii,mh01_1k_iii.dat,l29d2_iii_h01,1000,3.818,10,100k,1.0,7.6,16.6,1e-05,evento,g10sempre_1k_iii,g10mai_1k_iii,6.5,4,S_ins;S_rel;B2
mh01_20_iii,mh01_20_iii.dat,l29d2_iii_h01,20,3.818,10,100k,1.0,7.6,16.6,1e-05,evento,g10sempre_20_iii,g10mai_20_iii,6.5,4,S_ins;S_rel;B2
on_r300p_iii,on_r300p_iii.dat,accensione_iii,1000,0,10,100k,0.1,2.6,11.6,1e-05,evento,g10sempre_lz_iii,g10mai_lz_iii,0.0,5,A_ins;A_rel
