cella,gruppo,variante,gm,f_hz,amp,rl,grandezza,uscita,picco,t_picco,soglia,esito,esiti
gm0x10_lz_iii_i,1,l29d2_iii,0a10,1000,0,100k,A_ins,FIXJACK1,4.142e-09,2.362500,0.0001,regge,sotto
gm0x10_lz_iii_i,1,l29d2_iii,0a10,1000,0,100k,B2,FIXJACK1,3.474e-09,7.520000,0.0001,regge,sotto
gm0x10_lz_iii_c,1,l29d2_iii,0a10,1000,0,100k,A_ins,MAINJACK,1.704e-07,8.000312,0.0001,regge,sotto
gm0x10_lz_iii_c,1,l29d2_iii,0a10,1000,0,100k,A_rel,MAINJACK,3.194e-08,11.323156,0.0001,regge,sotto
gm0x10_lz_iii_c,1,l29d2_iii,0a10,1000,0,100k,B2,MAINJACK,7.697e-11,8.026740,0.0001,regge,sotto
x01000_dpmaxmax_iii_i,3,l29d2_iii_dpmaxmax,g0a10_t0a0,1000,0,100k,A_ins,FIXJACK1,8.914e-06,2.362406,0.0001,regge,sotto
x01000_dpmaxmax_iii_i,3,l29d2_iii_dpmaxmax,g0a10_t0a0,1000,0,100k,B2,FIXJACK1,7.365e-06,7.520000,0.0001,regge,sotto
x01000_dpmaxmax_iii_c,3,l29d2_iii_dpmaxmax,g0a10_t0a0,1000,0,100k,A_ins,MAINJACK,4.911e-07,8.000156,0.0001,regge,sotto
x01000_dpmaxmax_iii_c,3,l29d2_iii_dpmaxmax,g0a10_t0a0,1000,0,100k,A_rel,MAINJACK,6.969e-05,11.323125,0.0001,regge,sotto
x01000_dpmaxmax_iii_c,3,l29d2_iii_dpmaxmax,g0a10_t0a0,1000,0,100k,B2,MAINJACK,2.869e-10,8.026948,0.0001,regge,sotto
mh01_1k_iii,4,l29d2_iii_h01,10,1000,3.818,100k,S_ins,MAINJACK,7.163,6.040000,20.0,regge,sotto
mh01_1k_iii,4,l29d2_iii_h01,10,1000,3.818,100k,S_rel,MAINJACK,5.445,8.479000,20.0,regge,sotto
mh01_1k_iii,4,l29d2_iii_h01,10,1000,3.818,100k,B2,MAINJACK,2.054e-07,7.526969,0.0001,regge,sotto
mh01_20_iii,4,l29d2_iii_h01,10,20,3.818,100k,S_ins,MAINJACK,7.158,6.030000,20.0,regge,sotto
mh01_20_iii,4,l29d2_iii_h01,10,20,3.818,100k,S_rel,MAINJACK,4.938,8.505000,20.0,regge,sotto
mh01_20_iii,4,l29d2_iii_h01,10,20,3.818,100k,B2,MAINJACK,8.715e-06,7.526313,0.0001,regge,sotto
on_r300p_iii,5,accensione_iii,10,1000,0,100k,A_ins,FIXJACK1,4.416e-06,0.292354,0.0001,regge,sotto
on_r300p_iii,5,accensione_iii,10,1000,0,100k,A_rel,MAINJACK,3.195e-08,3.923229,0.0001,regge,sotto
