cella,file,variante,f_hz,amp,gm,rl,t_ins,t_rel,t_fine,tmax,tipo,rif_ins,rif_rel,t_grad,gruppo,conta
g10mai_lz,g10mai_lz.dat,rif,1000,0,10,100k,1.0,8.5,36.5,1e-05,rif_mai,-,-,0.0,0,
g10sempre_lz,g10sempre_lz.dat,rif,1000,0,10,100k,1.0,8.5,36.5,1e-05,rif_sempre,-,-,0.0,0,
off_r10s_d0,off_r10s_d0.dat,spegnimento,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz,-,0.0,5,A_ins
off_r10s_d5,off_r10s_d5.dat,spegnimento,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz,-,0.0,5,A_ins
off_r10s_d20,off_r10s_d20.dat,spegnimento,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz,-,0.0,5,A_ins
off_r10s_d100,off_r10s_d100.dat,spegnimento,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz,-,0.0,5,A_ins
off_r10p_d0,off_r10p_d0.dat,spegnimento,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz,-,0.0,5,A_ins
off_r10p_d5,off_r10p_d5.dat,spegnimento,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz,-,0.0,5,A_ins
off_r10p_d20,off_r10p_d20.dat,spegnimento,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz,-,0.0,5,A_ins
off_r10p_d100,off_r10p_d100.dat,spegnimento,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz,-,0.0,5,A_ins
off_r10m_d0,off_r10m_d0.dat,spegnimento,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz,-,0.0,5,A_ins
off_r10m_d5,off_r10m_d5.dat,spegnimento,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz,-,0.0,5,A_ins
off_r10m_d20,off_r10m_d20.dat,spegnimento,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz,-,0.0,5,A_ins
off_r10m_d100,off_r10m_d100.dat,spegnimento,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz,-,0.0,5,A_ins
off_r300s_d0,off_r300s_d0.dat,spegnimento,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz,-,0.0,5,A_ins
off_r300s_d5,off_r300s_d5.dat,spegnimento,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz,-,0.0,5,A_ins
off_r300s_d20,off_r300s_d20.dat,spegnimento,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz,-,0.0,5,A_ins
off_r300s_d100,off_r300s_d100.dat,spegnimento,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz,-,0.0,5,A_ins
off_r300p_d0,off_r300p_d0.dat,spegnimento,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz,-,0.0,5,A_ins
off_r300p_d5,off_r300p_d5.dat,spegnimento,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz,-,0.0,5,A_ins
off_r300p_d20,off_r300p_d20.dat,spegnimento,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz,-,0.0,5,A_ins
off_r300p_d100,off_r300p_d100.dat,spegnimento,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz,-,0.0,5,A_ins
off_r300m_d0,off_r300m_d0.dat,spegnimento,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz,-,0.0,5,A_ins
off_r300m_d5,off_r300m_d5.dat,spegnimento,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz,-,0.0,5,A_ins
off_r300m_d20,off_r300m_d20.dat,spegnimento,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz,-,0.0,5,A_ins
off_r300m_d100,off_r300m_d100.dat,spegnimento,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz,-,0.0,5,A_ins
