cella,gruppo,variante,gm,f_hz,amp,rl,grandezza,uscita,picco,t_picco,soglia,esito,esiti
off_r10s_d0,5,spegnimento,10,1000,0,100k,A_ins,FIXJACK1,0.01136,1.003146,0.0001,NON REGGE,SOPRA
off_r10s_d5,5,spegnimento,10,1000,0,100k,A_ins,MAINJACK,8.954,1.003125,0.0001,NON REGGE,SOPRA
off_r10s_d20,5,spegnimento,10,1000,0,100k,A_ins,MAINJACK,8.954,1.003125,0.0001,NON REGGE,SOPRA
off_r10s_d100,5,spegnimento,10,1000,0,100k,A_ins,MAINJACK,8.954,1.003125,0.0001,NON REGGE,SOPRA
off_r10p_d0,5,spegnimento,10,1000,0,100k,A_ins,MAINJACK,0.001868,1.009917,0.0001,NON REGGE,SOPRA
off_r10p_d5,5,spegnimento,10,1000,0,100k,A_ins,MAINJACK,0.002872,1.005000,0.0001,NON REGGE,SOPRA
off_r10p_d20,5,spegnimento,10,1000,0,100k,A_ins,MAINJACK,2.317,1.009792,0.0001,NON REGGE,SOPRA
off_r10p_d100,5,spegnimento,10,1000,0,100k,A_ins,MAINJACK,2.317,1.009792,0.0001,NON REGGE,SOPRA
off_r10m_d0,5,spegnimento,10,1000,0,100k,A_ins,MAINJACK,0.01745,1.003115,0.0001,NON REGGE,SOPRA
off_r10m_d5,5,spegnimento,10,1000,0,100k,A_ins,MAINJACK,13.65,1.003125,0.0001,NON REGGE,SOPRA
off_r10m_d20,5,spegnimento,10,1000,0,100k,A_ins,FIXJACK1,17.54,1.020042,0.0001,NON REGGE,SOPRA
off_r10m_d100,5,spegnimento,10,1000,0,100k,A_ins,MAINJACK,13.65,1.003125,0.0001,NON REGGE,SOPRA
off_r300s_d0,5,spegnimento,10,1000,0,100k,A_ins,MAINJACK,0.0002369,1.113906,0.0001,NON REGGE,SOPRA|sotto
off_r300s_d5,5,spegnimento,10,1000,0,100k,A_ins,MAINJACK,0.0002369,1.113906,0.0001,NON REGGE,SOPRA|sotto
off_r300s_d20,5,spegnimento,10,1000,0,100k,A_ins,MAINJACK,0.0003891,1.020042,0.0001,NON REGGE,SOPRA
off_r300s_d100,5,spegnimento,10,1000,0,100k,A_ins,MAINJACK,0.003007,1.100000,0.0001,NON REGGE,SOPRA
off_r300p_d0,5,spegnimento,10,1000,0,100k,A_ins,MAINJACK,0.0002346,1.165021,0.0001,NON REGGE,SOPRA|sotto
off_r300p_d5,5,spegnimento,10,1000,0,100k,A_ins,MAINJACK,0.0002346,1.165021,0.0001,NON REGGE,SOPRA|sotto
off_r300p_d20,5,spegnimento,10,1000,0,100k,A_ins,MAINJACK,0.0009325,1.020042,0.0001,NON REGGE,SOPRA
off_r300p_d100,5,spegnimento,10,1000,0,100k,A_ins,MAINJACK,0.005177,1.100042,0.0001,NON REGGE,SOPRA
off_r300m_d0,5,spegnimento,10,1000,0,100k,A_ins,MAINJACK,0.0002377,1.113031,0.0001,NON REGGE,SOPRA|sotto
off_r300m_d5,5,spegnimento,10,1000,0,100k,A_ins,MAINJACK,0.0002377,1.113031,0.0001,NON REGGE,SOPRA|sotto
off_r300m_d20,5,spegnimento,10,1000,0,100k,A_ins,MAINJACK,0.0005453,1.020042,0.0001,NON REGGE,SOPRA
off_r300m_d100,5,spegnimento,10,1000,0,100k,A_ins,MAINJACK,0.003334,1.100000,0.0001,NON REGGE,SOPRA
