cella,gruppo,variante,gm,f_hz,amp,rl,grandezza,uscita,picco,t_picco,soglia,esito,esiti
rele_20,4,rele_contro_norele,10,20,3.818,100k,S_ins,MAINJACK,0,,20.0,regge,sotto
rele_20,4,rele_contro_norele,10,20,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
minv25_lz,4,ldr_v4_td6_BB_inv25,10,1000,0,100k,A_ins,MAINJACK,1.305e-08,2.362333,0.0001,NON REGGE,"sotto, finestra corta: non accetta"
minv25_lz,4,ldr_v4_td6_BB_inv25,10,1000,0,100k,A_rel,MAINJACK,9.292e-07,2.500031,0.0001,regge,sotto
minv25_lz,4,ldr_v4_td6_BB_inv25,10,1000,0,100k,B2,MAINJACK,0,2.520000,0.0001,regge,sotto
minv50_lz,4,ldr_v4_td6_BB_inv50,10,1000,0,100k,A_ins,MAINJACK,1.305e-08,2.362333,0.0001,regge,sotto
minv50_lz,4,ldr_v4_td6_BB_inv50,10,1000,0,100k,A_rel,MAINJACK,1.549e-06,4.000031,0.0001,regge,sotto
minv50_lz,4,ldr_v4_td6_BB_inv50,10,1000,0,100k,B2,MAINJACK,0,4.020000,0.0001,regge,sotto
minv75_lz,4,ldr_v4_td6_BB_inv75,10,1000,0,100k,A_ins,MAINJACK,1.305e-08,2.362333,0.0001,regge,sotto
minv75_lz,4,ldr_v4_td6_BB_inv75,10,1000,0,100k,A_rel,MAINJACK,3.76e-06,5.500031,0.0001,regge,sotto
minv75_lz,4,ldr_v4_td6_BB_inv75,10,1000,0,100k,B2,MAINJACK,0,5.520000,0.0001,regge,sotto
mh01_lz,4,ldr_v4_td6_BB_h01,10,1000,0,100k,A_ins,MAINJACK,1.305e-08,2.362333,0.0001,regge,sotto
mh01_lz,4,ldr_v4_td6_BB_h01,10,1000,0,100k,A_rel,MAINJACK,3.18e-08,8.923260,0.0001,regge,sotto
mh01_lz,4,ldr_v4_td6_BB_h01,10,1000,0,100k,B2,MAINJACK,9.827e-09,7.520000,0.0001,regge,sotto
mev_lz,4,ldr_v4_td6_BB_ev,10,1000,0,100k,A_ins,MAINJACK,1.305e-08,2.362333,0.0001,regge,sotto
mev_lz,4,ldr_v4_td6_BB_ev,10,1000,0,100k,A_rel,MAINJACK,3.189e-08,9.823187,0.0001,regge,sotto
mev_lz,4,ldr_v4_td6_BB_ev,10,1000,0,100k,B2,MAINJACK,9.827e-09,7.520000,0.0001,regge,sotto
mh2_lz,4,ldr_v4_td6_BB_h2,10,1000,0,100k,A_ins,MAINJACK,1.305e-08,2.362333,0.0001,regge,sotto
mh2_lz,4,ldr_v4_td6_BB_h2,10,1000,0,100k,A_rel,MAINJACK,3.191e-08,10.823042,0.0001,regge,sotto
mh2_lz,4,ldr_v4_td6_BB_h2,10,1000,0,100k,B2,MAINJACK,9.827e-09,7.520000,0.0001,regge,sotto
mh20_lz,4,ldr_v4_td6_BB_h20,10,1000,0,100k,A_ins,MAINJACK,1.305e-08,2.362333,0.0001,regge,sotto
mh20_lz,4,ldr_v4_td6_BB_h20,10,1000,0,100k,A_rel,MAINJACK,3.193e-08,28.823292,0.0001,regge,sotto
mh20_lz,4,ldr_v4_td6_BB_h20,10,1000,0,100k,B2,MAINJACK,9.827e-09,7.520000,0.0001,regge,sotto
tm0x6_1k_i,2,ldr_v4_td6_BB,t0a6,1000,3.818,100k,S_ins,MAINJACK,7.163,6.040000,20.0,regge,sotto
tm0x6_1k_i,2,ldr_v4_td6_BB,t0a6,1000,3.818,100k,B2,MAINJACK,3.292e-07,7.526365,0.0001,regge,sotto
tm0x6_1k_c,2,ldr_v4_td6_BB,t0a6,1000,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
tm0x6_1k_c,2,ldr_v4_td6_BB,t0a6,1000,3.818,100k,B2,MAINJACK,2.101e-07,8.025844,0.0001,regge,sotto
tm6x0_1k_i,2,ldr_v4_td6_BB,t6a0,1000,3.818,100k,S_ins,MAINJACK,7.163,6.040000,20.0,regge,sotto
tm6x0_1k_i,2,ldr_v4_td6_BB,t6a0,1000,3.818,100k,B2,MAINJACK,1.638e-07,7.526365,0.0001,regge,sotto
tm6x0_1k_c,2,ldr_v4_td6_BB,t6a0,1000,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
tm6x0_1k_c,2,ldr_v4_td6_BB,t6a0,1000,3.818,100k,B2,MAINJACK,2.692e-07,8.028344,0.0001,regge,sotto
tm6x12_1k_i,2,ldr_v4_td6_BB,t6a12,1000,3.818,100k,S_ins,MAINJACK,7.163,6.040000,20.0,regge,sotto
tm6x12_1k_i,2,ldr_v4_td6_BB,t6a12,1000,3.818,100k,B2,MAINJACK,1.638e-07,7.526365,0.0001,regge,sotto
tm6x12_1k_c,2,ldr_v4_td6_BB,t6a12,1000,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
tm6x12_1k_c,2,ldr_v4_td6_BB,t6a12,1000,3.818,100k,B2,MAINJACK,1.054e-07,8.025844,0.0001,regge,sotto
tm12x6_1k_i,2,ldr_v4_td6_BB,t12a6,1000,3.818,100k,S_ins,MAINJACK,7.163,6.040000,20.0,regge,sotto
tm12x6_1k_i,2,ldr_v4_td6_BB,t12a6,1000,3.818,100k,B2,FIXJACK1,1.085e-07,7.525365,0.0001,regge,sotto
tm12x6_1k_c,2,ldr_v4_td6_BB,t12a6,1000,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
tm12x6_1k_c,2,ldr_v4_td6_BB,t12a6,1000,3.818,100k,B2,MAINJACK,1.342e-07,8.028344,0.0001,regge,sotto
tm0x12_1k_i,2,ldr_v4_td6_BB,t0a12,1000,3.818,100k,S_ins,MAINJACK,7.163,6.040000,20.0,regge,sotto
tm0x12_1k_i,2,ldr_v4_td6_BB,t0a12,1000,3.818,100k,B2,MAINJACK,3.292e-07,7.526365,0.0001,regge,sotto
tm0x12_1k_c,2,ldr_v4_td6_BB,t0a12,1000,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
tm0x12_1k_c,2,ldr_v4_td6_BB,t0a12,1000,3.818,100k,B2,MAINJACK,2.385e-07,8.026844,0.0001,regge,sotto
tm12x0_1k_i,2,ldr_v4_td6_BB,t12a0,1000,3.818,100k,S_ins,MAINJACK,7.163,6.040000,20.0,regge,sotto
tm12x0_1k_i,2,ldr_v4_td6_BB,t12a0,1000,3.818,100k,B2,FIXJACK1,1.085e-07,7.525365,0.0001,regge,sotto
tm12x0_1k_c,2,ldr_v4_td6_BB,t12a0,1000,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
tm12x0_1k_c,2,ldr_v4_td6_BB,t12a0,1000,3.818,100k,B2,MAINJACK,3.411e-07,8.028344,0.0001,regge,sotto
tm0x6_lz_i,2,ldr_v4_td6_BB,t0a6,1000,0,100k,A_ins,MAINJACK,1.305e-08,2.362333,0.0001,regge,sotto
tm0x6_lz_i,2,ldr_v4_td6_BB,t0a6,1000,0,100k,B2,MAINJACK,9.827e-09,7.520000,0.0001,regge,sotto
tm0x6_lz_c,2,ldr_v4_td6_BB,t0a6,1000,0,100k,A_ins,MAINJACK,0.0001017,8.000031,0.0001,NON REGGE,SOPRA|sotto
tm0x6_lz_c,2,ldr_v4_td6_BB,t0a6,1000,0,100k,A_rel,MAINJACK,1.6e-08,11.323115,0.0001,regge,sotto
tm0x6_lz_c,2,ldr_v4_td6_BB,t0a6,1000,0,100k,B2,MAINJACK,1.426e-07,8.025833,0.0001,regge,sotto
tm6x0_lz_i,2,ldr_v4_td6_BB,t6a0,1000,0,100k,A_ins,MAINJACK,6.545e-09,2.362760,0.0001,regge,sotto
tm6x0_lz_i,2,ldr_v4_td6_BB,t6a0,1000,0,100k,B2,FIXJACK1,7.577e-09,7.520000,0.0001,regge,sotto
tm6x0_lz_c,2,ldr_v4_td6_BB,t6a0,1000,0,100k,A_ins,MAINJACK,9.789e-05,8.001031,0.0001,regge,sotto
tm6x0_lz_c,2,ldr_v4_td6_BB,t6a0,1000,0,100k,A_rel,MAINJACK,3.192e-08,11.323198,0.0001,regge,sotto
tm6x0_lz_c,2,ldr_v4_td6_BB,t6a0,1000,0,100k,B2,MAINJACK,1.325e-07,8.028854,0.0001,regge,sotto
tm6x12_lz_i,2,ldr_v4_td6_BB,t6a12,1000,0,100k,A_ins,MAINJACK,6.545e-09,2.362760,0.0001,regge,sotto
tm6x12_lz_i,2,ldr_v4_td6_BB,t6a12,1000,0,100k,B2,FIXJACK1,7.577e-09,7.520000,0.0001,regge,sotto
tm6x12_lz_c,2,ldr_v4_td6_BB,t6a12,1000,0,100k,A_ins,MAINJACK,5.093e-05,8.000031,0.0001,regge,sotto
tm6x12_lz_c,2,ldr_v4_td6_BB,t6a12,1000,0,100k,A_rel,FIXJACK1,1.012e-08,11.323313,0.0001,regge,sotto
tm6x12_lz_c,2,ldr_v4_td6_BB,t6a12,1000,0,100k,B2,MAINJACK,7.004e-08,8.025813,0.0001,regge,sotto
tm12x6_lz_i,2,ldr_v4_td6_BB,t12a6,1000,0,100k,A_ins,FIXJACK2,4.144e-09,2.362406,0.0001,regge,sotto
tm12x6_lz_i,2,ldr_v4_td6_BB,t12a6,1000,0,100k,B2,FIXJACK1,7.578e-09,7.520000,0.0001,regge,sotto
tm12x6_lz_c,2,ldr_v4_td6_BB,t12a6,1000,0,100k,A_ins,MAINJACK,4.906e-05,8.001031,0.0001,regge,sotto
tm12x6_lz_c,2,ldr_v4_td6_BB,t12a6,1000,0,100k,A_rel,MAINJACK,1.6e-08,11.323115,0.0001,regge,sotto
tm12x6_lz_c,2,ldr_v4_td6_BB,t12a6,1000,0,100k,B2,MAINJACK,6.504e-08,8.028875,0.0001,regge,sotto
tm0x12_lz_i,2,ldr_v4_td6_BB,t0a12,1000,0,100k,A_ins,MAINJACK,1.305e-08,2.362333,0.0001,regge,sotto
tm0x12_lz_i,2,ldr_v4_td6_BB,t0a12,1000,0,100k,B2,MAINJACK,9.827e-09,7.520000,0.0001,regge,sotto
tm0x12_lz_c,2,ldr_v4_td6_BB,t0a12,1000,0,100k,A_ins,MAINJACK,0.0001017,8.000031,0.0001,NON REGGE,SOPRA|sotto
tm0x12_lz_c,2,ldr_v4_td6_BB,t0a12,1000,0,100k,A_rel,FIXJACK1,1.012e-08,11.323042,0.0001,regge,sotto
tm0x12_lz_c,2,ldr_v4_td6_BB,t0a12,1000,0,100k,B2,MAINJACK,2.038e-07,8.026594,0.0001,regge,sotto
tm12x0_lz_i,2,ldr_v4_td6_BB,t12a0,1000,0,100k,A_ins,FIXJACK2,4.144e-09,2.362406,0.0001,regge,sotto
tm12x0_lz_i,2,ldr_v4_td6_BB,t12a0,1000,0,100k,B2,FIXJACK1,7.578e-09,7.520000,0.0001,regge,sotto
tm12x0_lz_c,2,ldr_v4_td6_BB,t12a0,1000,0,100k,A_ins,MAINJACK,9.96e-05,8.001031,0.0001,regge,sotto
tm12x0_lz_c,2,ldr_v4_td6_BB,t12a0,1000,0,100k,A_rel,MAINJACK,3.192e-08,11.323177,0.0001,regge,sotto
tm12x0_lz_c,2,ldr_v4_td6_BB,t12a0,1000,0,100k,B2,MAINJACK,1.951e-07,8.028302,0.0001,regge,sotto
