cand,pos,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,0,1m,1f,951947,65.0769,79.4132
1,0,1m,47p,954218,64.7882,79.4132
1,0,1m,100p,956839,64.4583,79.4132
1,0,1m,220p,962870,63.697,79.4132
1,0,1m,470p,975647,62.0506,79.4132
1,0,1m,1n,1.00444E+06,58.2427,79.4132
1,0,1m,2.2n,1.07497E+06,47.7934,79.4132
1,0,1m,4.7n,1.14322E+06,23.4209,79.4132
1,0,430,1f,951923,64.9487,79.4132
1,0,430,47p,954195,64.6596,79.4132
1,0,430,100p,956814,64.3294,79.4132
1,0,430,220p,962844,63.5673,79.4132
1,0,430,470p,975621,61.9193,79.4132
1,0,430,1n,1.00441E+06,58.1077,79.4132
1,0,430,2.2n,1.07492E+06,47.6497,79.4132
1,0,430,4.7n,1.14318E+06,23.2692,79.4132
1,6,1m,1f,952999,65.0845,79.5514
1,6,1m,47p,953493,65.0115,79.5514
1,6,1m,100p,953843,64.9309,79.5514
1,6,1m,220p,953844,64.7721,79.5514
1,6,1m,470p,951643,64.5974,79.5514
1,6,1m,1n,946732,64.6073,79.5514
1,6,1m,2.2n,942824,64.7656,79.5514
1,6,1m,4.7n,941192,64.8817,79.5514
1,6,430,1f,952976,64.9561,79.5514
1,6,430,47p,953469,64.883,79.5514
1,6,430,100p,953820,64.8024,79.5514
1,6,430,220p,953820,64.6436,79.5514
1,6,430,470p,951620,64.4691,79.5514
1,6,430,1n,946709,64.4798,79.5514
1,6,430,2.2n,942801,64.6385,79.5514
1,6,430,4.7n,941170,64.7549,79.5514
1,12,1m,1f,953276,65.0865,79.5881
1,12,1m,47p,953406,65.068,79.5881
1,12,1m,100p,953513,65.0474,79.5881
1,12,1m,220p,953595,65.0042,79.5881
1,12,1m,470p,953212,64.9428,79.5881
1,12,1m,1n,951802,64.9189,79.5881
1,12,1m,2.2n,950255,64.963,79.5881
1,12,1m,4.7n,949522,65.0076,79.5881
1,12,430,1f,953252,64.9581,79.5881
1,12,430,47p,953383,64.9395,79.5881
1,12,430,100p,953489,64.9189,79.5881
1,12,430,220p,953572,64.8757,79.5881
1,12,430,470p,953189,64.8144,79.5881
1,12,430,1n,951779,64.7906,79.5881
1,12,430,2.2n,950232,64.8349,79.5881
1,12,430,4.7n,949498,64.8796,79.5881
2,0,1m,1f,956480,65.1091,80.0183
2,0,1m,47p,958856,64.8161,80.0183
2,0,1m,100p,961550,64.4823,80.0183
2,0,1m,220p,967704,63.713,80.0183
2,0,1m,470p,980850,62.0454,80.0183
2,0,1m,1n,1.01054E+06,58.1798,80.0182
2,0,1m,2.2n,1.08383E+06,47.4999,80.0182
2,0,1m,4.7n,1.153E+06,22.6212,80.0182
2,0,430,1f,956455,64.9802,80.0183
2,0,430,47p,958831,64.6869,80.0183
2,0,430,100p,961525,64.3528,80.0183
2,0,430,220p,967678,63.5827,80.0183
2,0,430,470p,980823,61.9134,80.0183
2,0,430,1n,1.01051E+06,58.044,80.0182
2,0,430,2.2n,1.08379E+06,47.3551,80.0182
2,0,430,4.7n,1.15295E+06,22.4684,80.0182
2,6,1m,1f,957561,65.1165,80.166
2,6,1m,47p,958028,65.0432,80.166
2,6,1m,100p,958224,64.966,80.166
2,6,1m,220p,957598,64.841,80.166
2,6,1m,470p,954880,64.7819,80.166
2,6,1m,1n,951812,64.8577,80.166
2,6,1m,2.2n,950144,64.9532,80.166
2,6,1m,4.7n,949512,65.0066,80.1659
2,6,430,1f,957537,64.9875,80.166
2,6,430,47p,958004,64.9141,80.166
2,6,430,100p,958199,64.8369,80.166
2,6,430,220p,957574,64.712,80.166
2,6,430,470p,954857,64.6532,80.166
2,6,430,1n,951789,64.7294,80.166
2,6,430,2.2n,950121,64.8252,80.166
2,6,430,4.7n,949488,64.8787,80.166
2,12,1m,1f,957849,65.1185,80.2056
2,12,1m,47p,957976,65.0998,80.2056
2,12,1m,100p,958053,65.0794,80.2056
2,12,1m,220p,957990,65.0418,80.2056
2,12,1m,470p,957334,65.0099,80.2056
2,12,1m,1n,956236,65.0232,80.2056
2,12,1m,2.2n,955509,65.057,80.2056
2,12,1m,4.7n,955221,65.0785,80.2056
2,12,430,1f,957825,64.9895,80.2056
2,12,430,47p,957951,64.9707,80.2056
2,12,430,100p,958028,64.9503,80.2056
2,12,430,220p,957965,64.9128,80.2056
2,12,430,470p,957309,64.8809,80.2056
2,12,430,1n,956212,64.8943,80.2056
2,12,430,2.2n,955485,64.9282,80.2056
2,12,430,4.7n,955197,64.9498,80.2056
