variante,rsrc,cprobe,fcross_hz,pm_deg,tdb_10hz
tutti_segnaposto,1m,1f,928787,70.2178,72.3992
tutti_segnaposto,1m,470p,934765,67.8965,72.3992
tutti_segnaposto,1m,1n,928381,65.6339,72.3992
tutti_segnaposto,1m,1.5n,913211,64.1091,72.3992
tutti_segnaposto,1m,2.2n,886686,62.9102,72.3992
tutti_segnaposto,1m,2.7n,868004,62.5359,72.3992
tutti_segnaposto,1m,3.3n,847861,62.4149,72.3992
tutti_segnaposto,1m,4.7n,811674,62.8201,72.3993
tutti_segnaposto,2.611k,1f,928620,69.5478,72.3992
tutti_segnaposto,2.611k,470p,934588,67.2228,72.3992
tutti_segnaposto,2.611k,1n,928215,64.965,72.3992
tutti_segnaposto,2.611k,1.5n,913055,63.4511,72.3992
tutti_segnaposto,2.611k,2.2n,886551,62.2709,72.3992
tutti_segnaposto,2.611k,2.7n,867880,61.9099,72.3992
tutti_segnaposto,2.611k,3.3n,847748,61.803,72.3992
tutti_segnaposto,2.611k,4.7n,811576,62.2339,72.3993
