cella,file,variante,f_hz,amp,gm,rl,t_ins,t_rel,t_fine,tmax,tipo,rif_ins,rif_rel,t_grad,gruppo,conta
g10mai_lz_l30,g10mai_lz_l30.dat,rif,1000,0,10,100k,1.0,1000,3.5,1e-05,rif_mai,-,-,0.0,0,
g10sempre_lz_l30,g10sempre_lz_l30.dat,rif,1000,0,10,100k,1.0,1000,3.5,1e-05,rif_sempre,-,-,0.0,0,
n_r10s_gi_l30,n_r10s_gi_l30.dat,spegnimento_morbido,1000,0,10a0,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_l30,-,0.0,6,A_ins
n_r10s_gm_l30,n_r10s_gm_l30.dat,spegnimento_morbido,1000,0,10a0,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_l30,-,0.0,6,A_ins
n_r10p_gi_l30,n_r10p_gi_l30.dat,spegnimento_morbido,1000,0,10a0,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_l30,-,0.0,6,A_ins
n_r10p_gm_l30,n_r10p_gm_l30.dat,spegnimento_morbido,1000,0,10a0,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_l30,-,0.0,6,A_ins
n_r10m_gi_l30,n_r10m_gi_l30.dat,spegnimento_morbido,1000,0,10a0,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_l30,-,0.0,6,A_ins
n_r10m_gm_l30,n_r10m_gm_l30.dat,spegnimento_morbido,1000,0,10a0,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_l30,-,0.0,6,A_ins
n_r300s_gi_l30,n_r300s_gi_l30.dat,spegnimento_morbido,1000,0,10a0,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_l30,-,0.0,6,A_ins
n_r300s_gm_l30,n_r300s_gm_l30.dat,spegnimento_morbido,1000,0,10a0,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_l30,-,0.0,6,A_ins
n_r300p_gi_l30,n_r300p_gi_l30.dat,spegnimento_morbido,1000,0,10a0,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_l30,-,0.0,6,A_ins
n_r300p_gm_l30,n_r300p_gm_l30.dat,spegnimento_morbido,1000,0,10a0,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_l30,-,0.0,6,A_ins
n_r300m_gi_l30,n_r300m_gi_l30.dat,spegnimento_morbido,1000,0,10a0,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_l30,-,0.0,6,A_ins
n_r300m_gm_l30,n_r300m_gm_l30.dat,spegnimento_morbido,1000,0,10a0,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_l30,-,0.0,6,A_ins
f_c470s_l30,f_c470s_l30.dat,guasto_f,1000,0,10,100k,0.997339623,1000,3.5,1e-05,evento,g10mai_lz_l30,-,0.0,6,A_ins
g_c470s_l30,g_c470s_l30.dat,guasto_g,1000,0,10a0,100k,0.997339623,1000,3.5,1e-05,evento,g10mai_lz_l30,-,0.0,6,A_ins
f_c470p_l30,f_c470p_l30.dat,guasto_f,1000,0,10,100k,0.997339623,1000,3.5,1e-05,evento,g10mai_lz_l30,-,0.0,6,A_ins
f_c470m_l30,f_c470m_l30.dat,guasto_f,1000,0,10,100k,0.997339623,1000,3.5,1e-05,evento,g10mai_lz_l30,-,0.0,6,A_ins
f_c1000s_l30,f_c1000s_l30.dat,guasto_f,1000,0,10,100k,0.994339623,1000,3.5,1e-05,evento,g10mai_lz_l30,-,0.0,6,A_ins
g_c1000s_l30,g_c1000s_l30.dat,guasto_g,1000,0,10a0,100k,0.994339623,1000,3.5,1e-05,evento,g10mai_lz_l30,-,0.0,6,A_ins
f_c1000p_l30,f_c1000p_l30.dat,guasto_f,1000,0,10,100k,0.994339623,1000,3.5,1e-05,evento,g10mai_lz_l30,-,0.0,6,A_ins
f_c1000m_l30,f_c1000m_l30.dat,guasto_f,1000,0,10,100k,0.994339623,1000,3.5,1e-05,evento,g10mai_lz_l30,-,0.0,6,A_ins
f_c2200s_l30,f_c2200s_l30.dat,guasto_f,1000,0,10,100k,0.987547170,1000,3.5,1e-05,evento,g10mai_lz_l30,-,0.0,6,A_ins
g_c2200s_l30,g_c2200s_l30.dat,guasto_g,1000,0,10a0,100k,0.987547170,1000,3.5,1e-05,evento,g10mai_lz_l30,-,0.0,6,A_ins
f_c2200p_l30,f_c2200p_l30.dat,guasto_f,1000,0,10,100k,0.987547170,1000,3.5,1e-05,evento,g10mai_lz_l30,-,0.0,6,A_ins
f_c2200m_l30,f_c2200m_l30.dat,guasto_f,1000,0,10,100k,0.987547170,1000,3.5,1e-05,evento,g10mai_lz_l30,-,0.0,6,A_ins
cf_nodelta_l30,cf_nodelta_l30.dat,controfattuale,1000,0,10a0,100k,0.994339623,1000,3.5,1e-05,evento,g10mai_lz_l30,-,0.0,6,A_ins
