cand,r1,r2,r3,pos,csel,zmin_ohm,z20_ohm,z1k_ohm,z20k_ohm,att1k_db
1,549,294,294,99,1f,998523,999999,999995,998378,-8.77279E-05
1,549,294,294,99,22p,341975,999995,989808,328276,-8.77279E-05
1,549,294,294,99,68p,120054,999962,917680,114723,-8.77279E-05
1,549,294,294,0,1f,998572,999999,999995,998432,-8.77274E-05
1,549,294,294,0,22p,341976,999995,989808,328277,-8.77274E-05
1,549,294,294,0,68p,120054,999962,917680,114723,-8.77274E-05
1,549,294,294,6,1f,998568,999999,999995,998427,-5.9734
1,549,294,294,6,22p,341976,999995,989808,328277,-5.9734
1,549,294,294,6,68p,120054,999962,917680,114723,-5.9734
1,549,294,294,12,1f,998567,999999,999995,998426,-11.9376
1,549,294,294,12,22p,341976,999995,989808,328277,-11.9376
1,549,294,294,12,68p,120054,999962,917680,114723,-11.9376
2,845,464,464,99,1f,998523,999999,999995,998378,-8.77279E-05
2,845,464,464,99,22p,341975,999995,989808,328276,-8.77279E-05
2,845,464,464,99,68p,120054,999962,917680,114723,-8.77279E-05
2,845,464,464,0,1f,998554,999999,999995,998413,-8.77274E-05
2,845,464,464,0,22p,341976,999995,989808,328276,-8.77274E-05
2,845,464,464,0,68p,120054,999962,917680,114723,-8.77274E-05
2,845,464,464,6,1f,998550,999999,999995,998408,-6.00296
2,845,464,464,6,22p,341976,999995,989808,328276,-6.00296
2,845,464,464,6,68p,120054,999962,917680,114723,-6.00296
2,845,464,464,12,1f,998549,999999,999995,998407,-11.9394
2,845,464,464,12,22p,341976,999995,989808,328276,-11.9394
2,845,464,464,12,68p,120054,999962,917680,114723,-11.9394
