carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,662272,69.6644,80.5676
1,1m,47p,663091,69.486,80.5676
1,1m,100p,664014,69.2839,80.5676
1,1m,220p,666102,68.8227,80.5676
1,1m,470p,670445,67.846,80.5676
1,1m,1n,679674,65.7007,80.5675
1,1m,2.2n,700260,60.4677,80.5675
1,1m,4.7n,733344,48.3918,80.5674
1,430,1f,662264,69.575,80.5676
1,430,47p,663082,69.3965,80.5676
1,430,100p,664005,69.1942,80.5676
1,430,220p,666094,68.7328,80.5676
1,430,470p,670437,67.7555,80.5676
1,430,1n,679664,65.609,80.5675
1,430,2.2n,700249,60.3734,80.5675
1,430,4.7n,733331,48.2933,80.5674
2,1m,1f,661774,69.6726,80.4737
2,1m,47p,662590,69.4945,80.4737
2,1m,100p,663510,69.2927,80.4737
2,1m,220p,665593,68.8323,80.4737
2,1m,470p,669923,67.8573,80.4737
2,1m,1n,679108,65.7164,80.4736
2,1m,2.2n,699610,60.4949,80.4736
2,1m,4.7n,732551,48.4504,80.4736
2,430,1f,661765,69.5833,80.4737
2,430,47p,662581,69.4051,80.4737
2,430,100p,663502,69.2032,80.4737
2,430,220p,665584,68.7425,80.4737
2,430,470p,669914,67.7669,80.4737
2,430,1n,679099,65.6248,80.4736
2,430,2.2n,699600,60.4007,80.4736
2,430,4.7n,732538,48.3521,80.4736
