blk,modo_db,f_hz,vin_pk,k_att,caso,p_q132,p_q133,icmax_q132,icmin_q132,icmax_q133,icmin_q133,p_q122,icmax_q122,p_q125,p_q127,p_q121a,p_q121b,p_q117,p_q118,p_q106,p_jq110a,p_jq110b,p_r134,p_r135,p_r130,p_r131,p_r123,p_r126,p_rsep,p_rsep2,irms_rsep,irms_rsep2,p_q132_w1,p_q132_w2,voutpk,p_rail
A,0,1000,0,1,0,0.295634,0.296562,0.0202902,0.0202902,-0.0204018,-0.0204018,0.0909247,-0.00679716,0.0895156,0.0117675,0.00156296,0.00176153,0.0102714,0.0102707,0.064251,0.0208067,0.0204155,0.00923464,0.00923607,3.90974E-07,7.7074E-08,0.00426988,0.00414282,0,0,0,0,0.295634,0.295634,-0.015454,3.97257
F1,0,1000,0,1,0,0.295956,0.296231,0.0202908,0.0202908,-0.0204007,-0.0204007,0.0910278,-0.006797,0.089412,0.0117673,0.00156296,0.0017615,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923514,0.00923514,3.90671E-07,7.71766E-08,0.00426968,0.0041428,1.1883E-19,0,5.02822E-11,0,0.295956,0.295956,-0.0309065,3.97257
F2,0,1000,0,1,0,0.295956,0.296231,0.0202908,0.0202908,-0.0204007,-0.0204007,0.0910278,-0.006797,0.089412,0.0117673,0.00156296,0.0017615,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923514,0.00923514,3.90671E-07,7.71766E-08,0.00426968,0.0041428,6.9056E-21,0,1.21214E-11,0,0.295956,0.295956,-0.0309065,3.97257
B,0,1000,0,1,0,0.295956,0.296231,0.0202908,0.0202908,-0.0204007,-0.0204007,0.0910278,-0.006797,0.089412,0.0117673,0.00156296,0.0017615,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923514,0.00923514,3.90671E-07,7.71766E-08,0.00426968,0.0041428,3.05204E-21,0,8.05835E-12,0,0.295956,0.295956,-0.0309065,3.97257
A,0,1000,0,1,1,0.295634,0.296562,0.0202902,0.0202902,-0.0204018,-0.0204018,0.0909247,-0.00679716,0.0895156,0.0117675,0.00156296,0.00176153,0.0102714,0.0102707,0.064251,0.0208067,0.0204155,0.00923464,0.00923607,3.90974E-07,7.7074E-08,0.00426988,0.00414282,0,0,0,0,0.295634,0.295634,-0.015454,3.97257
F1,0,1000,0,1,1,0.295956,0.296231,0.0202908,0.0202908,-0.0204007,-0.0204007,0.0910278,-0.006797,0.089412,0.0117673,0.00156296,0.0017615,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923514,0.00923514,3.90671E-07,7.71766E-08,0.00426968,0.0041428,3.48411E-25,0,8.65314E-14,0,0.295956,0.295956,-0.0309065,3.97257
F2,0,1000,0,1,1,0.295956,0.296231,0.0202908,0.0202908,-0.0204007,-0.0204007,0.0910278,-0.006797,0.089412,0.0117673,0.00156296,0.0017615,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923514,0.00923514,3.90671E-07,7.71766E-08,0.00426968,0.0041428,3.52051E-25,0,8.63036E-14,0,0.295956,0.295956,-0.0309065,3.97257
B,0,1000,0,1,1,0.295956,0.296231,0.0202908,0.0202908,-0.0204007,-0.0204007,0.0910278,-0.006797,0.089412,0.0117673,0.00156296,0.0017615,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923514,0.00923514,3.90671E-07,7.71766E-08,0.00426968,0.0041428,3.55871E-25,0,8.65931E-14,0,0.295956,0.295956,-0.0309065,3.97257
A,0,1000,0,1,2,0.295634,0.296562,0.0202902,0.0202902,-0.0204018,-0.0204018,0.0909247,-0.00679716,0.0895156,0.0117675,0.00156296,0.00176153,0.0102714,0.0102707,0.064251,0.0208067,0.0204155,0.00923464,0.00923607,3.90974E-07,7.7074E-08,0.00426988,0.00414282,0,0,0,0,0.295634,0.295634,-0.015454,3.97257
F1,0,1000,0,1,2,0.295956,0.296231,0.0202908,0.0202908,-0.0204007,-0.0204007,0.0910278,-0.006797,0.089412,0.0117673,0.00156296,0.0017615,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923514,0.00923514,3.90671E-07,7.71766E-08,0.00426968,0.0041428,3.41641E-25,0,8.59534E-14,0,0.295956,0.295956,-0.0309065,3.97257
F2,0,1000,0,1,2,0.295956,0.296231,0.0202908,0.0202908,-0.0204007,-0.0204007,0.0910278,-0.006797,0.089412,0.0117673,0.00156296,0.0017615,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923514,0.00923514,3.90671E-07,7.71766E-08,0.00426968,0.0041428,4.5621E-26,0,3.11567E-14,0,0.295956,0.295956,-0.0309065,3.97257
