carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,557336,69.2129,81.0871
1,1m,47p,557808,69.0707,81.0871
1,1m,100p,558340,68.9098,81.0871
1,1m,220p,559540,68.5437,81.0871
1,1m,470p,562021,67.7728,81.0871
1,1m,1n,567304,66.0971,81.0871
1,1m,2.2n,578603,62.1258,81.087
1,1m,4.7n,596776,53.2944,81.0869
1,430,1f,557330,69.1376,81.0871
1,430,47p,557803,68.9953,81.0871
1,430,100p,558335,68.8344,81.0871
1,430,220p,559535,68.4682,81.0871
1,430,470p,562015,67.6969,81.0871
1,430,1n,567298,66.0205,81.0871
1,430,2.2n,578597,62.0478,81.087
1,430,4.7n,596770,53.214,81.0869
2,1m,1f,556955,69.2197,80.9933
2,1m,47p,557427,69.0776,80.9933
2,1m,100p,557958,68.917,80.9933
2,1m,220p,559155,68.5515,80.9933
2,1m,470p,561629,67.7817,80.9933
2,1m,1n,566887,66.1089,80.9933
2,1m,2.2n,578142,62.145,80.9932
2,1m,4.7n,596252,53.3313,80.9932
2,430,1f,556950,69.1444,80.9933
2,430,47p,557421,69.0024,80.9933
2,430,100p,557952,68.8417,80.9933
2,430,220p,559149,68.4759,80.9933
2,430,470p,561623,67.7059,80.9933
2,430,1n,566881,66.0324,80.9933
2,430,2.2n,578135,62.0671,80.9932
2,430,4.7n,596244,53.251,80.9932
