pos,rld,cprobe,fcross_hz,pm_deg,tdb_10hz
1,10k,1f,957710,66.3463,80.6525
1,10k,47p,960080,66.0512,80.6525
1,10k,100p,962626,65.7148,80.6525
1,10k,220p,967843,64.943,80.6525
1,10k,470p,975874,63.3279,80.6525
1,10k,1n,978583,60.2405,80.6525
1,10k,1.5n,965851,58.1793,80.6526
1,10k,2.2n,936785,56.6867,80.6526
1,10k,2.7n,915087,56.2957,80.6526
1,10k,3.3n,891323,56.249,80.6527
1,10k,4.7n,848535,56.9236,80.6528
2,10k,1f,957710,66.3463,80.6525
2,10k,47p,960160,66.0486,80.6525
2,10k,100p,962938,65.7094,80.6525
2,10k,220p,969292,64.9272,80.6525
2,10k,470p,982945,63.2286,80.6525
2,10k,1n,1.01389E+06,59.281,80.6525
2,10k,1.5n,1.04532E+06,55.0675,80.6524
2,10k,2.2n,1.09175E+06,48.2583,80.6524
2,10k,2.7n,1.12365E+06,42.7951,80.6524
2,10k,3.3n,1.15456E+06,35.9245,80.6524
2,10k,4.7n,1.1669E+06,22.3303,80.6524
1,50k,1f,958896,66.3537,80.8176
1,50k,47p,961296,66.0556,80.8176
1,50k,100p,963874,65.7158,80.8176
1,50k,220p,969155,64.9358,80.8176
1,50k,470p,977271,63.3035,80.8176
1,50k,1n,979949,60.1856,80.8176
1,50k,1.5n,966917,58.1144,80.8176
1,50k,2.2n,937436,56.6255,80.8176
1,50k,2.7n,915518,56.2418,80.8176
1,50k,3.3n,891574,56.2041,80.8176
1,50k,4.7n,848577,56.8952,80.8176
2,50k,1f,958896,66.3537,80.8176
2,50k,47p,961359,66.0553,80.8176
2,50k,100p,964152,65.7151,80.8176
2,50k,220p,970538,64.9309,80.8176
2,50k,470p,984301,63.2264,80.8176
2,50k,1n,1.01547E+06,59.264,80.8176
2,50k,1.5n,1.04716E+06,55.0308,80.8176
2,50k,2.2n,1.0941E+06,48.1791,80.8176
2,50k,2.7n,1.12644E+06,42.6698,80.8176
2,50k,3.3n,1.15762E+06,35.7484,80.8175
2,50k,4.7n,1.16952E+06,22.11,80.8175
