carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,381884,70.9025,80.8761
1,1m,47p,382037,70.8115,80.8761
1,1m,100p,382209,70.7088,80.8761
1,1m,220p,382596,70.4758,80.8761
1,1m,470p,383388,69.9881,80.8761
1,1m,1n,385011,68.9453,80.876
1,1m,2.2n,388355,66.5448,80.876
1,1m,4.7n,393672,61.4273,80.8759
1,430,1f,381882,70.8509,80.8761
1,430,47p,382036,70.7599,80.8761
1,430,100p,382207,70.6571,80.8761
1,430,220p,382594,70.424,80.8761
1,430,470p,383387,69.9363,80.8761
1,430,1n,385009,68.8933,80.876
1,430,2.2n,388353,66.4924,80.876
1,430,4.7n,393670,61.3742,80.8759
2,1m,1f,381644,70.9092,80.7858
2,1m,47p,381797,70.8183,80.7858
2,1m,100p,381968,70.7158,80.7858
2,1m,220p,382354,70.483,80.7858
2,1m,470p,383145,69.996,80.7858
2,1m,1n,384764,68.9546,80.7858
2,1m,2.2n,388100,66.5573,80.7858
2,1m,4.7n,393398,61.4476,80.7857
2,430,1f,381642,70.8576,80.7858
2,430,47p,381795,70.7668,80.7858
2,430,100p,381966,70.6641,80.7858
2,430,220p,382352,70.4313,80.7858
2,430,470p,383143,69.9442,80.7858
2,430,1n,384762,68.9026,80.7858
2,430,2.2n,388098,66.5049,80.7858
2,430,4.7n,393396,61.3945,80.7857
