pos,rld,cprobe,fcross_hz,pm_deg,tdb_10hz
1,10k,1f,381871,70.9063,80.8797
1,10k,47p,382019,70.8162,80.8797
1,10k,100p,382178,70.7147,80.8797
1,10k,220p,382506,70.4849,80.8797
1,10k,470p,383037,70.0088,80.8797
1,10k,1n,383474,69.0253,80.8797
1,10k,1.5n,383033,68.1545,80.8798
1,10k,2.2n,381153,67.0708,80.8798
1,10k,2.7n,379089,66.4098,80.8798
1,10k,3.3n,376043,65.7465,80.8798
1,10k,4.7n,367618,64.7086,80.8799
2,10k,1f,381871,70.9063,80.8797
2,10k,47p,382024,70.8153,80.8797
2,10k,100p,382196,70.7126,80.8797
2,10k,220p,382582,70.4796,80.8797
2,10k,470p,383375,69.992,80.8797
2,10k,1n,384998,68.9493,80.8797
2,10k,1.5n,386450,67.9553,80.8796
2,10k,2.2n,388342,66.549,80.8796
2,10k,2.7n,389601,65.5349,80.8796
2,10k,3.3n,391003,64.309,80.8796
2,10k,4.7n,393660,61.4318,80.8795
1,50k,1f,382295,70.9011,81.0455
1,50k,47p,382445,70.8101,81.0455
1,50k,100p,382606,70.7076,81.0455
1,50k,220p,382937,70.4756,81.0455
1,50k,470p,383474,69.9948,81.0455
1,50k,1n,383912,69.0018,81.0455
1,50k,1.5n,383458,68.1231,81.0455
1,50k,2.2n,381544,67.031,81.0455
1,50k,2.7n,379438,66.3663,81.0455
1,50k,3.3n,376350,65.7001,81.0455
1,50k,4.7n,367822,64.6619,81.0455
2,50k,1f,382295,70.9011,81.0455
2,50k,47p,382449,70.8099,81.0455
2,50k,100p,382622,70.707,81.0455
2,50k,220p,383010,70.4734,81.0455
2,50k,470p,383806,69.9847,81.0455
2,50k,1n,385436,68.9396,81.0455
2,50k,1.5n,386894,67.9432,81.0455
2,50k,2.2n,388795,66.5336,81.0455
2,50k,2.7n,390073,65.5162,81.0454
2,50k,3.3n,391482,64.2872,81.0454
2,50k,4.7n,394152,61.4025,81.0453
