finestra,vmax,vmin
regime_0db,0.484278,-0.515186
regime_3db,0.687723,-0.731616
regime_10db,1.52616,-1.62357
regime_10db_bis,1.52616,-1.62357
trans_0_3,0.687723,-0.731618
trans_3_10,1.52616,-1.62357
trans_10_3,1.52616,-0.731615
trans_3_0,0.687725,-0.51518
trans_0_10_k5_prima,1.52616,-1.62357
trans_10_0_k1_prima,1.52616,-1.36428
