carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,705059,74.0221,79.4359
1,1m,47p,706064,73.833,79.4359
1,1m,100p,707199,73.6185,79.4359
1,1m,220p,709821,73.127,79.4359
1,1m,470p,715338,72.0805,79.4359
1,1m,1n,727107,69.7641,79.4359
1,1m,2.2n,754012,63.9912,79.4359
1,1m,4.7n,797666,50.2178,79.4358
1,430,1f,705049,73.9266,79.4359
1,430,47p,706055,73.7373,79.4359
1,430,100p,707190,73.5228,79.4359
1,430,220p,709811,73.0309,79.4359
1,430,470p,715328,71.9837,79.4359
1,430,1n,727097,69.6657,79.4359
1,430,2.2n,753999,63.8893,79.4359
1,430,4.7n,797652,50.1104,79.4358
2,1m,1f,704504,74.0274,79.343
2,1m,47p,705506,73.8386,79.343
2,1m,100p,706637,73.6245,79.343
2,1m,220p,709236,73.1343,79.343
2,1m,470p,714736,72.0898,79.343
2,1m,1n,726448,69.7785,79.343
2,1m,2.2n,753234,64.0197,79.343
2,1m,4.7n,796661,50.2896,79.3429
2,430,1f,704494,73.932,79.343
2,430,47p,705496,73.7431,79.343
2,430,100p,706628,73.5289,79.343
2,430,220p,709226,73.0383,79.343
2,430,470p,714725,71.993,79.343
2,430,1n,726437,69.6802,79.343
2,430,2.2n,753222,63.9179,79.343
2,430,4.7n,796646,50.1824,79.3429
