nodo,rsrc,onoise_total_v,inoise_total_v
J1,1,1.65178E-06,1.65966E-06
J1,430,1.69382E-06,1.70264E-06
J1,2500,1.88312E-06,1.89682E-06
OUTA,430,1.2295E-06,1.23E-06
