grandezza,f20,f1k,f20k,max_20_20k
Z_jack_mag,1693.61,57.932,47.0371,
Z_jack_real,53.1186,47.0207,47.0238,53.1186
Z_nodo_buffer_mag,0.0229278,0.0366412,0.57246,
