cella,gruppo,variante,gm,f_hz,amp,rl,grandezza,uscita,picco,t_picco,soglia,esito,esiti
cinv25_1k,6,ldr_v4_td6_DA_inv25,10,1000,3.818,100k,S_ins,FIXJACK1,0.277,1.842000,20.0,regge,sotto
cinv25_1k,6,ldr_v4_td6_DA_inv25,10,1000,3.818,100k,S_rel,MAINJACK,0.8578,3.390000,20.0,regge,sotto
cinv25_1k,6,ldr_v4_td6_DA_inv25,10,1000,3.818,100k,B2,MAINJACK,0,2.520000,0.0001,regge,sotto
cinv75_1k,6,ldr_v4_td6_DA_inv75,10,1000,3.818,100k,S_ins,MAINJACK,4.794,5.399000,20.0,regge,sotto
cinv75_1k,6,ldr_v4_td6_DA_inv75,10,1000,3.818,100k,S_rel,MAINJACK,3.541,8.427000,20.0,regge,sotto
cinv75_1k,6,ldr_v4_td6_DA_inv75,10,1000,3.818,100k,B2,MAINJACK,0,5.520000,0.0001,regge,sotto
cev_1k,6,ldr_v4_td6_DA_ev,10,1000,3.818,100k,S_ins,MAINJACK,5.88,6.041000,20.0,regge,sotto
cev_1k,6,ldr_v4_td6_DA_ev,10,1000,3.818,100k,S_rel,MAINJACK,4.882,9.574000,20.0,regge,sotto
cev_1k,6,ldr_v4_td6_DA_ev,10,1000,3.818,100k,B2,MAINJACK,1.862e-07,7.526344,0.0001,regge,sotto
ch2_1k,6,ldr_v4_td6_DA_h2,10,1000,3.818,100k,S_ins,MAINJACK,5.88,6.041000,20.0,regge,sotto
ch2_1k,6,ldr_v4_td6_DA_h2,10,1000,3.818,100k,S_rel,MAINJACK,4.952,10.584000,20.0,regge,sotto
ch2_1k,6,ldr_v4_td6_DA_h2,10,1000,3.818,100k,B2,MAINJACK,1.862e-07,7.526344,0.0001,regge,sotto
cinv25_20,6,ldr_v4_td6_DA_inv25,10,20,3.818,100k,S_ins,MAINJACK,0.2625,1.840000,20.0,regge,sotto
cinv25_20,6,ldr_v4_td6_DA_inv25,10,20,3.818,100k,S_rel,FIXJACK1,0.8492,3.383000,20.0,regge,sotto
cinv25_20,6,ldr_v4_td6_DA_inv25,10,20,3.818,100k,B2,MAINJACK,0,2.520000,0.0001,regge,sotto
cinv75_20,6,ldr_v4_td6_DA_inv75,10,20,3.818,100k,S_ins,MAINJACK,4.718,5.386000,20.0,regge,sotto
cinv75_20,6,ldr_v4_td6_DA_inv75,10,20,3.818,100k,S_rel,MAINJACK,3.927,8.262000,20.0,regge,sotto
cinv75_20,6,ldr_v4_td6_DA_inv75,10,20,3.818,100k,B2,MAINJACK,0,5.520000,0.0001,regge,sotto
cev_20,6,ldr_v4_td6_DA_ev,10,20,3.818,100k,S_ins,MAINJACK,5.885,6.034000,20.0,regge,sotto
cev_20,6,ldr_v4_td6_DA_ev,10,20,3.818,100k,S_rel,MAINJACK,4.269,12.237000,20.0,regge,sotto
cev_20,6,ldr_v4_td6_DA_ev,10,20,3.818,100k,B2,MAINJACK,4.961e-06,7.526344,0.0001,regge,sotto
ch2_20,6,ldr_v4_td6_DA_h2,10,20,3.818,100k,S_ins,MAINJACK,5.885,6.034000,20.0,regge,sotto
ch2_20,6,ldr_v4_td6_DA_h2,10,20,3.818,100k,S_rel,MAINJACK,4.269,13.237000,20.0,regge,sotto
ch2_20,6,ldr_v4_td6_DA_h2,10,20,3.818,100k,B2,MAINJACK,4.961e-06,7.526344,0.0001,regge,sotto
cinv25_lz,6,ldr_v4_td6_DA_inv25,10,1000,0,100k,A_ins,MAINJACK,3.237e-08,1.951563,0.0001,NON REGGE,"sotto, finestra corta: non accetta"
cinv25_lz,6,ldr_v4_td6_DA_inv25,10,1000,0,100k,A_rel,MAINJACK,9.499e-07,2.500031,0.0001,regge,sotto
cinv25_lz,6,ldr_v4_td6_DA_inv25,10,1000,0,100k,B2,MAINJACK,0,2.520000,0.0001,regge,sotto
cinv75_lz,6,ldr_v4_td6_DA_inv75,10,1000,0,100k,A_ins,MAINJACK,3.237e-08,1.951563,0.0001,regge,sotto
cinv75_lz,6,ldr_v4_td6_DA_inv75,10,1000,0,100k,A_rel,MAINJACK,6.032e-06,5.500031,0.0001,regge,sotto
cinv75_lz,6,ldr_v4_td6_DA_inv75,10,1000,0,100k,B2,MAINJACK,0,5.520000,0.0001,regge,sotto
cev_lz,6,ldr_v4_td6_DA_ev,10,1000,0,100k,A_ins,MAINJACK,3.237e-08,1.951563,0.0001,regge,sotto
cev_lz,6,ldr_v4_td6_DA_ev,10,1000,0,100k,A_rel,MAINJACK,3.191e-08,9.956375,0.0001,regge,sotto
cev_lz,6,ldr_v4_td6_DA_ev,10,1000,0,100k,B2,MAINJACK,5.437e-09,7.520000,0.0001,regge,sotto
ch2_lz,6,ldr_v4_td6_DA_h2,10,1000,0,100k,A_ins,MAINJACK,3.237e-08,1.951563,0.0001,regge,sotto
ch2_lz,6,ldr_v4_td6_DA_h2,10,1000,0,100k,A_rel,MAINJACK,3.192e-08,10.956552,0.0001,regge,sotto
ch2_lz,6,ldr_v4_td6_DA_h2,10,1000,0,100k,B2,MAINJACK,5.437e-09,7.520000,0.0001,regge,sotto
