pos,rld,cprobe,fcross_hz,pm_deg,tdb_10hz
1,10k,1f,641372,73.2518,80.2674
1,10k,47p,642275,73.0685,80.2674
1,10k,100p,643252,72.8607,80.2674
1,10k,220p,645297,72.3872,80.2674
1,10k,470p,648820,71.3946,80.2674
1,10k,1n,652142,69.3766,80.2675
1,10k,1.5n,650086,67.7376,80.2675
1,10k,2.2n,640817,66.0476,80.2676
1,10k,2.7n,631604,65.2618,80.2676
1,10k,3.3n,619665,64.6846,80.2676
1,10k,4.7n,593253,64.3315,80.2677
2,10k,1f,641372,73.2518,80.2674
2,10k,47p,642301,73.0667,80.2674
2,10k,100p,643349,72.8569,80.2674
2,10k,220p,645732,72.3772,80.2674
2,10k,470p,650843,71.3534,80.2674
2,10k,1n,661801,69.0876,80.2674
2,10k,1.5n,672438,66.8179,80.2674
2,10k,2.2n,687510,63.4215,80.2674
2,10k,2.7n,698220,60.8385,80.2673
2,10k,3.3n,710599,57.5836,80.2673
2,10k,4.7n,734633,49.5573,80.2673
1,50k,1f,642180,73.2543,80.4475
1,50k,47p,643094,73.0691,80.4475
1,50k,100p,644083,72.8592,80.4475
1,50k,220p,646166,72.3804,80.4475
1,50k,470p,649738,71.3771,80.4475
1,50k,1n,653074,69.3388,80.4475
1,50k,1.5n,650948,67.6859,80.4475
1,50k,2.2n,641491,65.9882,80.4475
1,50k,2.7n,632149,65.2022,80.4475
1,50k,3.3n,620064,64.6287,80.4475
1,50k,4.7n,593426,64.2881,80.4474
2,50k,1f,642180,73.2543,80.4475
2,50k,47p,643113,73.0687,80.4475
2,50k,100p,644167,72.8584,80.4475
2,50k,220p,646582,72.3768,80.4475
2,50k,470p,651720,71.3502,80.4475
2,50k,1n,662763,69.0767,80.4474
2,50k,1.5n,673461,66.7996,80.4474
2,50k,2.2n,688658,63.3891,80.4474
2,50k,2.7n,699478,60.7932,80.4474
2,50k,3.3n,711987,57.5205,80.4474
2,50k,4.7n,736228,49.4503,80.4473
