pos,rld,cprobe,fcross_hz,pm_deg,tdb_10hz
1,10k,1f,812022,66.7989,82.0966
1,10k,47p,813756,66.5496,82.0966
1,10k,100p,815658,66.2649,82.0966
1,10k,220p,819638,65.6106,82.0966
1,10k,470p,826238,64.2274,82.0966
1,10k,1n,831395,61.4397,82.0967
1,10k,1.5n,825703,59.3297,82.0967
1,10k,2.2n,807111,57.4571,82.0968
1,10k,2.7n,791188,56.7507,82.0968
1,10k,3.3n,772450,56.3642,82.0968
1,10k,4.7n,735868,56.4891,82.0969
2,10k,1f,812022,66.7989,82.0966
2,10k,47p,813808,66.5475,82.0966
2,10k,100p,815857,66.2608,82.0966
2,10k,220p,820537,65.6013,82.0966
2,10k,470p,830466,64.1794,82.0966
2,10k,1n,852914,60.9123,82.0966
2,10k,1.5n,875746,57.474,82.0966
2,10k,2.2n,909891,51.9941,82.0966
2,10k,2.7n,934972,47.5685,82.0965
2,10k,3.3n,963423,41.7684,82.0965
2,10k,4.7n,999493,28.3126,82.0965
1,50k,1f,813021,66.8104,82.2822
1,50k,47p,814798,66.5581,82.2822
1,50k,100p,816725,66.2704,82.2822
1,50k,220p,820754,65.6093,82.2822
1,50k,470p,827428,64.2113,82.2822
1,50k,1n,832613,61.3945,82.2822
1,50k,1.5n,826741,59.2696,82.2822
1,50k,2.2n,807826,57.3935,82.2822
1,50k,2.7n,791702,56.6914,82.2822
1,50k,3.3n,772785,56.3119,82.2822
1,50k,4.7n,735971,56.4529,82.2822
2,50k,1f,813021,66.8104,82.2822
2,50k,47p,814838,66.5579,82.2822
2,50k,100p,816897,66.2705,82.2822
2,50k,220p,821602,65.6092,82.2822
2,50k,470p,831584,64.1834,82.2822
2,50k,1n,854236,60.9032,82.2822
2,50k,1.5n,877268,57.4495,82.2821
2,50k,2.2n,911725,51.9402,82.2821
2,50k,2.7n,937167,47.4789,82.2821
2,50k,3.3n,965936,41.6338,82.2821
2,50k,4.7n,1.00215E+06,28.0901,82.282
