pos,rld,cprobe,fcross_hz,pm_deg,tdb_10hz
1,10k,1f,732690,73.9311,80.3195
1,10k,47p,734067,73.7149,80.3195
1,10k,100p,735560,73.469,80.3195
1,10k,220p,738684,72.9054,80.3195
1,10k,470p,743982,71.7147,80.3195
1,10k,1n,748606,69.2892,80.3195
1,10k,1.5n,744686,67.3809,80.3196
1,10k,2.2n,730161,65.5451,80.3196
1,10k,2.7n,716921,64.7658,80.3196
1,10k,3.3n,700669,64.2528,80.3197
1,10k,4.7n,667350,64.0795,80.3198
2,10k,1f,732690,73.9311,80.3195
2,10k,47p,734107,73.713,80.3195
2,10k,100p,735712,73.4652,80.3195
2,10k,220p,739369,72.8968,80.3195
2,10k,470p,747247,71.6728,80.3195
2,10k,1n,764679,68.9026,80.3195
2,10k,1.5n,782080,66.0452,80.3194
2,10k,2.2n,807736,61.5997,80.3194
2,10k,2.7n,826527,58.0875,80.3194
2,10k,3.3n,848463,53.5281,80.3194
2,10k,4.7n,885916,42.2736,80.3194
1,50k,1f,733655,73.9401,80.4992
1,50k,47p,735050,73.7217,80.4992
1,50k,100p,736561,73.4732,80.4992
1,50k,220p,739724,72.9038,80.4992
1,50k,470p,745112,71.6993,80.4992
1,50k,1n,749748,69.2489,80.4992
1,50k,1.5n,745709,67.3252,80.4992
1,50k,2.2n,730908,65.4835,80.4992
1,50k,2.7n,717481,64.7066,80.4992
1,50k,3.3n,701054,64.1991,80.4992
1,50k,4.7n,667492,64.0401,80.4992
2,50k,1f,733655,73.9401,80.4992
2,50k,47p,735080,73.7215,80.4992
2,50k,100p,736693,73.473,80.4992
2,50k,220p,740368,72.9031,80.4992
2,50k,470p,748317,71.6747,80.4992
2,50k,1n,765884,68.8944,80.4992
2,50k,1.5n,783438,66.0245,80.4992
2,50k,2.2n,809325,61.5567,80.4992
2,50k,2.7n,828322,58.0226,80.4992
2,50k,3.3n,850502,53.4318,80.4992
2,50k,4.7n,888321,42.0957,80.4991
