col0,col1,col2,col3,col4,col5,col6,col7,col8,col9
0.00300223209,0.0145591561,0.00300223209,-0.0145568709,0.00300223209,0.0145575157,0.00300223209,0.0145579314,0.00300223209,0.0335721119
0.00300723209,0.0145653913,0.00300723209,-0.0145513205,0.00300723209,0.0145579172,0.00300723209,0.014559398,0.00300723209,0.153426896
0.00301223209,0.0145716155,0.00301223209,-0.0145457745,0.00301223209,0.0145583159,0.00301223209,0.0145608603,0.00301223209,0.273113806
0.00301723209,0.0145778225,0.00301723209,-0.0145402385,0.00301723209,0.0145587114,0.00301723209,0.0145623167,0.00301723209,0.392514722
0.00302223209,0.0145840061,0.00302223209,-0.0145347179,0.00302223209,0.0145591035,0.00302223209,0.014563766,0.00302223209,0.511511823
0.00302723209,0.0145901603,0.00302723209,-0.0145292184,0.00302723209,0.0145594915,0.00302723209,0.0145652067,0.00302723209,0.629987669
0.00303223209,0.0145962792,0.00303223209,-0.0145237452,0.00303223209,0.0145598754,0.00303223209,0.0145666375,0.00303223209,0.747825352
0.00303723209,0.0146023566,0.00303723209,-0.0145183039,0.00303723209,0.0145602547,0.00303723209,0.014568057,0.00303723209,0.864908578
0.00304223209,0.0146083867,0.00304223209,-0.0145128999,0.00304223209,0.0145606292,0.00304223209,0.0145694638,0.00304223209,0.981121815
0.00304723209,0.0146143635,0.00304723209,-0.0145075387,0.00304723209,0.0145609984,0.00304723209,0.0145708567,0.00304723209,1.09635037
0.00305223209,0.0146202813,0.00305223209,-0.0145022255,0.00305223209,0.0145613622,0.00305223209,0.0145722343,0.00305223209,1.21048054
0.00305723209,0.0146261343,0.00305723209,-0.0144969657,0.00305723209,0.0145617202,0.00305723209,0.0145735952,0.00305723209,1.3233997
0.00306223209,0.0146319168,0.00306223209,-0.0144917645,0.00306223209,0.0145620722,0.00306223209,0.0145749385,0.00306223209,1.43499641
0.00306723209,0.0146376232,0.00306723209,-0.0144866273,0.00306723209,0.0145624178,0.00306723209,0.0145762626,0.00306723209,1.54516055
0.00307223209,0.0146432479,0.00307223209,-0.014481559,0.00307223209,0.014562757,0.00307223209,0.0145775664,0.00307223209,1.65378342
0.00307723209,0.0146487855,0.00307723209,-0.0144765649,0.00307723209,0.0145630893,0.00307723209,0.0145788488,0.00307723209,1.7607578
