cablaggio,f_hz,rj1,blk,icmax_q132,icmin_q132,icmax_q133,icmin_q133,classe_a,vpk_outa,vpk_j2,irms_rsep1
1,1000,470k,a,0.0147541,0.0143565,-0.0143805,-0.0147334,1,3.79993,3.8086,1.14857E-05
1,1000,470k,f1,0.0145692,0.0145432,-0.014549,-0.0145632,1,3.79993,3.8086,1.14857E-05
1,1000,470k,f2,0.014603,0.0145092,-0.0145296,-0.0145826,1,3.79993,3.8086,1.14857E-05
1,1000,10k,a,0.0147541,0.0143565,-0.0143805,-0.0147334,1,3.79993,3.8086,0.000274389
1,1000,10k,f1,0.0147535,0.0143575,-0.0143809,-0.0147324,1,3.79993,3.8086,0.000274389
1,1000,10k,f2,0.014603,0.0145092,-0.0145296,-0.0145826,1,3.79993,3.8086,0.000274389
1,1000,1k,a,0.0147541,0.0143565,-0.0143805,-0.0147334,1,3.79993,3.80861,0.0025804
1,1000,1k,f1,0.0163602,0.0127133,-0.0128074,-0.01637,1,3.79993,3.80861,0.0025804
1,1000,1k,f2,0.014603,0.0145092,-0.0145296,-0.0145826,1,3.79993,3.80861,0.0025804
1,1000,100,a,0.0147541,0.0143565,-0.0143805,-0.0147334,1,3.80001,3.80868,0.0178852
1,1000,100,f1,0.0277344,0.00255612,-0.00272864,-0.0276017,1,3.80001,3.80868,0.0178852
1,1000,100,f2,0.014603,0.0145092,-0.0145296,-0.0145826,1,3.80001,3.80868,0.0178852
1,1000,47,a,0.0147541,0.0143565,-0.0143805,-0.0147334,1,3.80018,3.80885,0.0270025
1,1000,47,f1,0.0377713,2.35795E-06,-3.81075E-06,-0.0377758,1,3.80018,3.80885,0.0270025
1,1000,47,f2,0.014603,0.0145092,-0.0145296,-0.0145826,1,3.80018,3.80885,0.0270025
1,1000,22,a,0.0147541,0.0143565,-0.0143805,-0.0147334,1,3.80024,3.80891,0.0350956
1,1000,22,f1,0.0490879,-9.12408E-08,9.6027E-08,-0.0490913,0,3.80024,3.80891,0.0350956
1,1000,22,f2,0.014603,0.0145092,-0.0145296,-0.0145826,1,3.80024,3.80891,0.0350956
1,1000,10,a,0.0147541,0.0143565,-0.0143805,-0.0147334,1,3.80025,3.80892,0.0406839
1,1000,10,f1,0.0569105,-2.11855E-07,2.36054E-07,-0.0569145,0,3.80025,3.80892,0.0406839
1,1000,10,f2,0.014603,0.0145092,-0.0145296,-0.0145826,1,3.80025,3.80892,0.0406839
1,1000,1,a,0.0147541,0.0143565,-0.0143805,-0.0147334,1,3.80026,3.80892,0.045917
1,1000,1,f1,0.0642238,-2.72299E-07,3.2206E-07,-0.0642284,0,3.80026,3.80892,0.045917
1,1000,1,f2,0.014603,0.0145092,-0.0145296,-0.0145826,1,3.80026,3.80892,0.045917
1,1000,0.01,a,0.0147541,0.0143565,-0.0143805,-0.0147334,1,3.80026,3.80892,0.0465559
1,1000,0.01,f1,0.0651238,-2.70176E-07,3.23197E-07,-0.0651286,0,3.80026,3.80892,0.0465559
1,1000,0.01,f2,0.014603,0.0145092,-0.0145296,-0.0145826,1,3.80026,3.80892,0.0465559
1,20000,470k,a,0.0147541,0.0143564,-0.0143794,-0.0147354,1,3.80097,3.81264,1.1484E-05
1,20000,470k,f1,0.0145693,0.0145425,-0.0145329,-0.0145792,1,3.80097,3.81264,1.1484E-05
1,20000,470k,f2,0.0146031,0.014509,-0.0145237,-0.0145928,1,3.80097,3.81264,1.1484E-05
1,20000,10k,a,0.0147541,0.0143564,-0.0143794,-0.0147354,1,3.80097,3.81264,0.000274354
1,20000,10k,f1,0.0147542,0.0143579,-0.0143792,-0.0147338,1,3.80097,3.81264,0.000274354
1,20000,10k,f2,0.0146031,0.014509,-0.0145237,-0.0145928,1,3.80097,3.81264,0.000274354
1,20000,1k,a,0.0147541,0.0143564,-0.0143794,-0.0147354,1,3.80097,3.81266,0.00258325
1,20000,1k,f1,0.0163858,0.0127373,-0.0127823,-0.0163462,1,3.80097,3.81266,0.00258325
1,20000,1k,f2,0.0146031,0.014509,-0.0145237,-0.0145928,1,3.80097,3.81266,0.00258325
1,20000,100,a,0.0147541,0.0143564,-0.0143794,-0.0147354,1,3.80081,3.81297,0.018359
1,20000,100,f1,0.0281285,0.00228845,-0.00244662,-0.0279749,1,3.80081,3.81297,0.018359
1,20000,100,f2,0.0146031,0.014509,-0.0145237,-0.0145928,1,3.80081,3.81297,0.018359
1,20000,47,a,0.0147541,0.0143564,-0.0143794,-0.0147354,1,3.80065,3.81301,0.0287009
1,20000,47,f1,0.0401474,-2.6849E-06,2.72066E-06,-0.0401508,0,3.80065,3.81301,0.0287009
1,20000,47,f2,0.0146031,0.014509,-0.0145237,-0.0145928,1,3.80065,3.81301,0.0287009
1,20000,22,a,0.0147541,0.0143564,-0.0143794,-0.0147354,1,3.80054,3.813,0.0390877
1,20000,22,f1,0.0546715,-9.88863E-06,1.1758E-05,-0.0546778,0,3.80054,3.813,0.0390877
1,20000,22,f2,0.0146031,0.014509,-0.0145237,-0.0145928,1,3.80054,3.813,0.0390877
1,20000,10,a,0.0147541,0.0143564,-0.0143794,-0.0147354,1,3.80052,3.813,0.0473043
1,20000,10,f1,0.066159,-1.24169E-05,1.47673E-05,-0.0661715,0,3.80052,3.813,0.0473043
1,20000,10,f2,0.0146031,0.014509,-0.0145237,-0.0145928,1,3.80052,3.813,0.0473043
1,20000,1,a,0.0147541,0.0143564,-0.0143794,-0.0147354,1,3.8006,3.81298,0.0561559
1,20000,1,f1,0.0785354,-1.44403E-05,1.72072E-05,-0.0785571,0,3.8006,3.81298,0.0561559
1,20000,1,f2,0.0146031,0.014509,-0.0145237,-0.0145928,1,3.8006,3.81298,0.0561559
1,20000,0.01,a,0.0147541,0.0143564,-0.0143794,-0.0147354,1,3.80061,3.81298,0.0573358
1,20000,0.01,f1,0.0801852,-1.45828E-05,1.74191E-05,-0.0802085,0,3.80061,3.81298,0.0573358
1,20000,0.01,f2,0.0146031,0.014509,-0.0145237,-0.0145928,1,3.80061,3.81298,0.0573358
2,1000,470k,a,0.0148042,0.0143064,-0.014331,-0.0147829,1,3.79992,3.8097,1.1489E-05
2,1000,470k,f1,0.0145611,0.0145512,-0.014541,-0.0145711,1,3.79992,3.8097,1.1489E-05
2,1000,470k,f2,0.0145611,0.0145512,-0.014541,-0.0145711,1,3.79992,3.8097,1.1489E-05
2,1000,10k,a,0.0149888,0.0141209,-0.014149,-0.0149665,1,3.79991,3.80968,0.000274468
2,1000,10k,f1,0.0145611,0.0145512,-0.014541,-0.0145711,1,3.79991,3.80968,0.000274468
2,1000,10k,f2,0.0145611,0.0145512,-0.014541,-0.0145711,1,3.79991,3.80968,0.000274468
2,1000,1k,a,0.0165978,0.0124783,-0.012577,-0.0166064,1,3.79977,3.80954,0.00258119
2,1000,1k,f1,0.0145611,0.0145512,-0.014541,-0.0145711,1,3.79977,3.80954,0.00258119
2,1000,1k,f2,0.0145611,0.0145512,-0.014541,-0.0145711,1,3.79977,3.80954,0.00258119
2,1000,100,a,0.0280039,0.00236114,-0.00253514,-0.0278728,1,3.79894,3.8088,0.0178936
2,1000,100,f1,0.0145611,0.0145512,-0.0145411,-0.0145711,1,3.79894,3.8088,0.0178936
2,1000,100,f2,0.0145611,0.0145512,-0.0145411,-0.0145711,1,3.79894,3.8088,0.0178936
2,1000,47,a,0.0382169,1.6227E-06,-2.62154E-06,-0.0382248,1,3.79882,3.80867,0.0270205
2,1000,47,f1,0.0145611,0.0145512,-0.0145411,-0.0145711,1,3.79882,3.80867,0.0270205
2,1000,47,f2,0.0145611,0.0145512,-0.0145411,-0.0145711,1,3.79882,3.80867,0.0270205
2,1000,22,a,0.0495258,-1.08752E-07,1.13096E-07,-0.0495319,0,3.79881,3.80865,0.0351218
2,1000,22,f1,0.0145611,0.0145512,-0.0145411,-0.0145711,1,3.79881,3.80865,0.0351218
2,1000,22,f2,0.0145611,0.0145512,-0.0145411,-0.0145711,1,3.79881,3.80865,0.0351218
2,1000,10,a,0.057326,-2.45627E-07,2.59216E-07,-0.0573326,0,3.79885,3.80868,0.0407126
2,1000,10,f1,0.0145611,0.0145512,-0.014541,-0.0145711,1,3.79885,3.80868,0.0407126
2,1000,10,f2,0.0145611,0.0145512,-0.014541,-0.0145711,1,3.79885,3.80868,0.0407126
2,1000,1,a,0.064627,-3.16161E-07,3.50297E-07,-0.064634,0,3.79899,3.80881,0.045947
2,1000,1,f1,0.0145611,0.0145512,-0.0145411,-0.0145711,1,3.79899,3.80881,0.045947
2,1000,1,f2,0.0145611,0.0145512,-0.0145411,-0.0145711,1,3.79899,3.80881,0.045947
2,1000,0.01,a,0.0655195,-3.32408E-07,3.68935E-07,-0.0655268,0,3.799,3.80882,0.0465687
2,1000,0.01,f1,0.0145611,0.0145512,-0.0145411,-0.0145711,1,3.799,3.80882,0.0465687
