carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,885368,72.0828,79.4614
1,1m,47p,887412,71.816,79.4613
1,1m,100p,889730,71.5123,79.4614
1,1m,220p,895114,70.811,79.4613
1,1m,470p,906606,69.296,79.4613
1,1m,1n,932264,65.8192,79.4613
1,1m,2.2n,995998,56.3722,79.4613
1,1m,4.7n,1.07677E+06,33.1474,79.4613
1,430,1f,885346,71.9633,79.4614
1,430,47p,887392,71.6962,79.4614
1,430,100p,889709,71.3922,79.4614
1,430,220p,895092,70.6902,79.4614
1,430,470p,906582,69.1737,79.4613
1,430,1n,932239,65.6935,79.4613
1,430,2.2n,995962,56.2386,79.4613
1,430,4.7n,1.07674E+06,33.0041,79.4613
2,1m,1f,884544,72.0939,79.3681
2,1m,47p,886582,71.8276,79.3681
2,1m,100p,888891,71.5246,79.3681
2,1m,220p,894234,70.8255,79.3681
2,1m,470p,905679,69.3141,79.3681
2,1m,1n,931206,65.8474,79.3681
2,1m,2.2n,994515,56.4389,79.3681
2,1m,4.7n,1.07504E+06,33.3071,79.368
2,430,1f,884523,71.9744,79.3681
2,430,47p,886560,71.7079,79.3681
2,430,100p,888869,71.4046,79.3681
2,430,220p,894211,70.7048,79.3681
2,430,470p,905656,69.1919,79.3681
2,430,1n,931179,65.7219,79.3681
2,430,2.2n,994480,56.3055,79.3681
2,430,4.7n,1.07501E+06,33.1641,79.368
